a_no	u_no	j_no	a_date	a_state
1	1	1	2026-05-24	2
2	2	8	2026-05-27	2
3	3	15	2026-05-30	2
4	4	22	2026-06-02	1
5	5	29	2026-06-05	2
6	6	36	2026-06-08	2
7	7	43	2026-06-11	2
8	8	50	2026-06-14	1
9	9	57	2026-06-17	0
10	10	64	2026-06-20	2
11	1	71	2026-06-23	2
12	2	78	2026-06-26	1
13	3	85	2026-06-29	2
14	4	92	2026-07-02	2
15	5	99	2026-07-05	2
16	6	106	2026-07-08	1
17	7	113	2026-07-11	2
18	8	120	2026-07-14	0
19	9	127	2026-07-17	2
20	10	134	2026-07-20	1
21	1	141	2026-07-23	2
22	2	148	2026-07-26	2
23	3	155	2026-07-29	2
24	4	162	2026-08-01	1
25	5	169	2026-08-04	2
26	6	176	2026-08-07	2
27	7	183	2026-08-10	0
28	8	190	2026-08-13	1
29	9	197	2026-08-16	2
30	10	204	2026-08-19	2
31	1	211	2026-08-22	2
32	2	218	2026-08-25	1
33	3	225	2026-08-28	2
34	4	232	2026-08-31	2
35	5	239	2026-09-03	2
36	6	246	2026-05-21	0
37	7	253	2026-05-24	2
38	8	260	2026-05-27	2
39	9	267	2026-05-30	2
40	10	274	2026-06-02	1
41	1	281	2026-06-05	2
42	2	288	2026-06-08	2
43	3	295	2026-06-11	2
44	4	302	2026-06-14	1
45	5	309	2026-06-17	0
46	6	316	2026-06-20	2
47	7	323	2026-06-23	2
48	8	330	2026-06-26	1
49	9	337	2026-06-29	2
50	10	344	2026-07-02	2
51	1	351	2026-07-05	2
52	2	358	2026-07-08	1
53	3	365	2026-07-11	2
54	4	372	2026-07-14	0
55	5	379	2026-07-17	2
56	6	386	2026-07-20	1
57	7	393	2026-07-23	2
58	8	400	2026-07-26	2
59	9	407	2026-07-29	2
60	10	414	2026-08-01	1
61	1	421	2026-08-04	2
62	2	428	2026-08-07	2
63	3	435	2026-08-10	0
64	4	442	2026-08-13	1
65	5	449	2026-08-16	2
66	6	456	2026-08-19	2
67	7	463	2026-08-22	2
68	8	470	2026-08-25	1
69	9	477	2026-08-28	2
70	10	484	2026-08-31	2
71	1	491	2026-09-03	2
72	2	498	2026-05-21	0
73	3	505	2026-05-24	2
74	4	512	2026-05-27	2
75	5	519	2026-05-30	2
76	6	526	2026-06-02	1
77	7	533	2026-06-05	2
78	8	540	2026-06-08	2
79	9	1	2026-06-11	2
80	10	8	2026-06-14	1
81	1	15	2026-06-17	0
82	2	22	2026-06-20	2
83	3	29	2026-06-23	2
84	4	36	2026-06-26	1
85	5	43	2026-06-29	2
86	6	50	2026-07-02	2
87	7	57	2026-07-05	2
88	8	64	2026-07-08	1
89	9	71	2026-07-11	2
90	10	78	2026-07-14	0
91	1	85	2026-07-17	2
92	2	92	2026-07-20	1
93	3	99	2026-07-23	2
94	4	106	2026-07-26	2
95	5	113	2026-07-29	2
96	6	120	2026-08-01	1
97	7	127	2026-08-04	2
98	8	134	2026-08-07	2
99	9	141	2026-08-10	0
100	10	148	2026-08-13	1
101	1	155	2026-08-16	2
102	2	162	2026-08-19	2
103	3	169	2026-08-22	2
104	4	176	2026-08-25	1
105	5	183	2026-08-28	2
106	6	190	2026-08-31	2
107	7	197	2026-09-03	2
108	8	204	2026-05-21	0
109	9	211	2026-05-24	2
110	10	218	2026-05-27	2
111	1	225	2026-05-30	2
112	2	232	2026-06-02	1
113	3	239	2026-06-05	2
114	4	246	2026-06-08	2
115	5	253	2026-06-11	2
116	6	260	2026-06-14	1
117	7	267	2026-06-17	0
118	8	274	2026-06-20	2
119	9	281	2026-06-23	2
120	10	288	2026-06-26	1
121	1	295	2026-06-29	2
122	2	302	2026-07-02	2
123	3	309	2026-07-05	2
124	4	316	2026-07-08	1
125	5	323	2026-07-11	2
126	6	330	2026-07-14	0
127	7	337	2026-07-17	2
128	8	344	2026-07-20	1
129	9	351	2026-07-23	2
130	10	358	2026-07-26	2
131	1	365	2026-07-29	2
132	2	372	2026-08-01	1
133	3	379	2026-08-04	2
134	4	386	2026-08-07	2
135	5	393	2026-08-10	0
136	6	400	2026-08-13	1
137	7	407	2026-08-16	2
138	8	414	2026-08-19	2
139	9	421	2026-08-22	2
140	10	428	2026-08-25	1
141	1	435	2026-08-28	2
142	2	442	2026-08-31	2
143	3	449	2026-09-03	2
144	4	456	2026-05-21	0
145	5	463	2026-05-24	2
146	6	470	2026-05-27	2
147	7	477	2026-05-30	2
148	8	484	2026-06-02	1
149	9	491	2026-06-05	2
150	10	498	2026-06-08	2
151	1	505	2026-06-11	2
152	2	512	2026-06-14	1
153	3	519	2026-06-17	0
154	4	526	2026-06-20	2
155	5	533	2026-06-23	2
156	6	540	2026-06-26	1
157	7	1	2026-06-29	2
158	8	8	2026-07-02	2
159	9	15	2026-07-05	2
160	10	22	2026-07-08	1
161	1	29	2026-07-11	2
162	2	36	2026-07-14	0
163	3	43	2026-07-17	2
164	4	50	2026-07-20	1
165	5	57	2026-07-23	2
166	6	64	2026-07-26	2
167	7	71	2026-07-29	2
168	8	78	2026-08-01	1
169	9	85	2026-08-04	2
170	10	92	2026-08-07	2
171	1	99	2026-08-10	0
172	2	106	2026-08-13	1
173	3	113	2026-08-16	2
174	4	120	2026-08-19	2
175	5	127	2026-08-22	2
176	6	134	2026-08-25	1
177	7	141	2026-08-28	2
178	8	148	2026-08-31	2
179	9	155	2026-09-03	2
180	10	162	2026-05-21	0
