j_no	s_no	j_title	j_content	j_salary	j_start	j_end	j_day	j_people	j_state	j_regdate
1	1	라떼하우스 화,목,토 알바 모집	라떼하우스은 서울 지역의 카페 매장입니다. 매장 테이블을 빠르게 정리하고 반납대 컵 분류와 베이커리 진열 상태 확인을 맡습니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10600	11:00:00	17:00:00	화,목,토	2	1	2026-07-10
2	2	모닝빈 월,화,수 알바 모집	모닝빈은 서울 지역의 카페 매장입니다. 디저트 쇼케이스 정리와 테이크아웃 포장 주문 접수를 담당하고 퇴근 전 커피 머신 주변을 닦습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10900	12:00:00	19:00:00	월,화,수	3	1	2026-09-04
3	3	달콤카페 목,금,토 알바 모집	달콤카페은 서울 지역의 카페 매장입니다. 쿠폰 적립 안내와 키오스크 주문 확인을 보조하고 음료 라벨이 맞는지 한 번 더 확인합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	11200	13:00:00	21:00:00	목,금,토	4	1	2026-07-20
4	4	우리동네CU 주말 알바 모집	우리동네CU은 서울 지역의 편의점 매장입니다. 야간 시간대 상품 진열과 냉장 음료 보충을 중심으로 계산 실수 없이 응대합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11700	19:00:00	23:00:00	주말	1	1	2026-08-20
5	5	세븐마켓 월,수,금 알바 모집	세븐마켓은 서울 지역의 편의점 매장입니다. 계산대 응대와 담배 재고 확인을 맡고 도시락 삼각김밥 유통기한을 시간대별로 점검합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	12000	20:00:00	01:00:00	월,수,금	2	1	2026-08-10
6	6	굿데이편의점 화,목,토 알바 모집	굿데이편의점은 서울 지역의 편의점 매장입니다. 행사 상품 가격표를 확인하고 손님 문의가 많은 생활용품 위치를 안내합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12300	21:00:00	03:00:00	화,목,토	3	1	2026-07-01
7	7	소담국밥 목,금,토 알바 모집	소담국밥은 서울 지역의 음식점 매장입니다. 반찬 리필과 식기 정리 테이블 세팅을 담당하며 점심 피크 전 매장 준비를 돕습니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12800	09:00:00	16:00:00	목,금,토	4	0	2026-06-26
8	8	정든키친 평일 알바 모집	정든키친은 서울 지역의 음식점 매장입니다. 주방과 홀 사이에서 요청 사항을 전달하고 주문 누락이 없도록 영수증을 확인합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13100	10:00:00	18:00:00	평일	1	1	2026-08-09
9	9	우리식탁 주말 알바 모집	우리식탁은 서울 지역의 음식점 매장입니다. 포장 주문 확인과 배달 기사 전달을 보조하고 홀 바닥과 셀프 코너를 수시로 정리합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13400	11:00:00	15:00:00	주말	2	1	2026-08-26
10	10	미소덮밥 월,수,금 알바 모집	미소덮밥은 서울 지역의 음식점 매장입니다. 홀 좌석 안내와 주문 확인을 맡고 음식이 나오면 테이블 번호에 맞춰 정확히 전달합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13700	12:00:00	17:00:00	월,수,금	3	1	2026-08-21
11	11	크리스피하우스 월,화,수 알바 모집	크리스피하우스은 서울 지역의 패스트푸드 매장입니다. 마감 시간에는 트레이 정리 쓰레기 분리 매장 바닥 청소를 함께 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	14200	18:00:00	00:00:00	월,화,수	4	1	2026-08-29
12	12	버거스팟 목,금,토 알바 모집	버거스팟은 서울 지역의 패스트푸드 매장입니다. 키오스크 주문 번호를 확인해 픽업대에 정확히 전달하고 소스 냅킨 재고를 채웁니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	10000	19:00:00	02:00:00	목,금,토	1	1	2026-09-03
13	13	우리빵집 주말 알바 모집	우리빵집은 서울 지역의 베이커리 매장입니다. 마감 전 남은 제품 정리와 매대 청소 포장지 재고 확인을 진행합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10500	21:00:00	05:00:00	주말	2	1	2026-07-16
14	14	브레드스퀘어 월,수,금 알바 모집	브레드스퀘어은 서울 지역의 베이커리 매장입니다. 갓 나온 빵을 종류별로 배치하고 손님이 고른 제품을 깔끔하게 포장합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	10800	22:00:00	02:00:00	월,수,금	3	0	2026-09-05
15	15	스마일베이커리 화,목,토 알바 모집	스마일베이커리은 서울 지역의 베이커리 매장입니다. 오전에는 빵 진열과 집게 트레이 정리를 맡고 오후에는 포장과 계산 보조를 담당합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11100	09:00:00	14:00:00	화,목,토	4	1	2026-06-27
16	16	오로라PC 목,금,토 알바 모집	오로라PC은 서울 지역의 PC방 매장입니다. 주방 조리대와 컵라면 코너를 청결하게 유지하고 주문 번호에 맞춰 메뉴를 전달합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11600	11:00:00	17:00:00	목,금,토	1	1	2026-06-29
17	17	모아PC방 평일 알바 모집	모아PC방은 서울 지역의 PC방 매장입니다. 회원 문의와 시간 충전 안내를 맡고 라면 음료 스낵 재고를 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11900	12:00:00	19:00:00	평일	2	1	2026-06-26
18	18	라온영화관 월,수,금 알바 모집	라온영화관은 서울 지역의 영화관 매장입니다. 티켓 발권 보조와 모바일 예매 확인을 진행하고 매점 소모품을 채웁니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12400	18:00:00	02:00:00	월,수,금	3	1	2026-07-06
19	19	시네마온 화,목,토 알바 모집	시네마온은 서울 지역의 영화관 매장입니다. 상영 시간표 문의를 응대하고 분실물 접수와 관람객 동선 안내를 담당합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12700	19:00:00	23:00:00	화,목,토	4	1	2026-07-21
