wno	wname	wrno	gno	contents	dno	s_date	star
1	레모네이드	1	1	"가족처럼 지낸 소꿉친구가 있었다. 그 애와 나는 정말 ‘친구’인데 그 애의 첫 연애 소식을 듣고 무너져버렸다. 나 사실 걔를 좋아하고 있었구나..! 어떻게 해서든 이 짝사랑을 끝내야 해! 근데.. 그만 좋아하기가 왜 이렇게 힘든 거야? 짝사랑은 원래 이런 거야?! 레모네이드처럼 새콤하지만 달콤한 청춘들의 첫 시련, 첫사랑"	3	2025-09-23	3
2	전지적 독자시점	2	2	"'이건 내가 아는 그 전개다' 한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다. 오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다."	7	2020-05-26	4
3	킬러 배드로	3	5	"배신당한 노인킬러 회춘하다! 그런데... 아무도 날 못 알아봐?! ""그럼 내가 최강이지!"""	6	2023-09-15	4
4	"너의 순정, 나의 순정"	4	1	"반장인 태리는 최근 계속해서 반 분위기를 흐리는 권지호 무리 때문에 스트레스를 받는다. 그러던 중 우연히 알게 된 지호의 비밀을 약점 잡아 지호를 제압하는데 성공하고, 그 일을 기점으로 지호는 태리에게 꼼짝하지 못하며 그렇게 둘의 비밀스러운(?) 상하관계가 시작되는데…"	8	2022-07-11	3
5	화산귀환	5	4	대 화산파 13대 제자.천하삼대검수 매화검존 청명. 천하를 혼란에 빠뜨린 고금제일마 천마의 목을 치고 십만대산의 정상에서 영면. 백 년의 시간을 뛰어넘어 아이의 몸으로 다시 살아나다. ......뭐? 화산이 망해? 이게 뭔 개소리야!?	3	2021-03-23	3
6	외모지상주의	6	6	못생기고 뚱뚱하다고 괴롭힘을 당하며 루저 인생만 살아온 내가 잘생겨졌다는 이유로 인싸가 됐다. 어느 날 자고 일어났더니 갑자기 완벽한 외모와 몸을 지닌 사람이 되어 깨어난다면?	5	2014-11-20	5
7	오늘만 사는 기사	7	2	"""넌 천재다"" 어릴 때 들었던 말이 독이었다. 엔크리드는 기사를 꿈꿨다. 헛된 꿈이라는 건 금세 알았다. "	6	2024-05-17	2
8	탑아이돌의 막내멤버가 되었다	8	6	"""25살…그거 아이돌은 못하는 나이잖아요."" 유명 서바이벌 아이돌 오디션 '스타더스트 프로젝트'에서 탈락했던 도서한. 꿈에 미련은 못버리고 현실과 타협한 채 알바를 전전하는데…눈을 떠보니 8년 전으로 돌아왔다. 그것도 '스타더스트 프로젝트'를 시작하기 직전으로! 막내가 된 (영혼만은) 최고 연장자, 이번에는 오디션에 합격해 아이돌 멤버가 될 수 있을까?"	6	2023-12-29	4
9	치즈인더트랩	9	1	"평범한 여대생 홍설, 그리고 어딘가 수상한 선배 유정. 미묘한 관계의 이들이 펼쳐나가는 이야기."	8	2018-12-21	2
10	절대회귀	10	4	"""나를 과거로 보내주시오."" 이 시대에서 그를 죽일 수 없다면, 과거로 돌아가면 되리라. 시간을 거스를 수 있는 '회귀대법(回歸大法)'으로 그토록 원하던 과거로 회귀한 한 남자. 가족도, 친구도, 삶도, 모두 잃었던 '검무극(劍無極)'의 복수를 위한 첫걸음이 시작된다."	2	2024-07-29	5
11	고래별	11	1	"1926년 일제 식민 지배 하의 조선. 17세 소녀 수아는 군산 일대 친일파 대지주의 집에서 몸종으로 일하고 있다. 어느 날 수아는 부상을 입은 채 해변가에 쓰러져 있는 독립운동가 의현을 발견하고, 그를 보호하게 되는데..."	8	2019-06-20	4
12	연우의 순정	12	10	여학생으로 오해받을 정도로 여리여리한 외모를 가진 연우. 그는 교내 인기스타인 강해솔을 몰래 좋아하고 있다. 하지만 낯을 굉장히 많이 가리고 소심한 연우는 같은 반인 해솔이에게 말 한 번 붙여본 적 없는데…	2	2020-09-21	5
13	천재타자가 강속구를 숨김	13	7	"부와 명예, 모든 걸 얻은 천재 메이저리거 강건우. 그런 그조차도 아내와의 행복한 결혼 생활만큼은 이어갈 수 없었다. 아내의 빈자리를 느끼며 후회하던 그가 신비한 반지의 힘으로 과거에 돌아왔다. 풋풋한 연애시절의 고등학생이 된 그는 이번에야말로 사랑을 쟁취할 수 있을까"	1	2023-03-26	2
14	마루는 강쥐	14	8	"우리 집 강아지 마루가 사람이 되었다, 그것도 5살 아이로! 강아지 + 어린아이의 무한 에너지와 호기심을 지닌 사고뭉치 강쥐 탄생! 마루야~! 또 어디가!!! 유쾌한 이웃들과 우당탕탕 즐거운 마루의 나날들"	8	2022-06-13	1
15	똑 닮은 딸	15	3	"'우리 엄마가 살인마인 것 같다.' 성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다. 그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다. 자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러! 2020 지상최대공모전 2기 우수상 수상작."	1	2021-08-29	5
16	먹는 인생2	16	9	행복한 일상에는 맛있는 음식이 빠질 수 없지! 맛있는 음식을 탐험하며 이어지는 일상 이야기	4	2025-12-03	3
17	환생천마	17	5	"철혈의 맹주, 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박, 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 이루지 못한 경지에 오르고자 한다."	7	2024-03-17	4
18	소녀의 세계	18	6	완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물	1	2015-05-17	1
