chno	pno	chgive	chtake	chtalk			
1	2	1	3	안녕하세요. 구매 가능할까요?			
2	2	3	1	네 구매 가능합니다.			
3	2	5	3	안녕하세요.			
4	3	7	8	안녕하세요.			
5	4	2	1	안녕하세요.			
6	4	4	1	안녕하세요.			
7	4	6	1	안녕하세요.			
8	4	7	1	안녕하세요.			
9	4	8	1	안녕하세요.			
10	5	3	2	안녕하세요.			
11	5	6	2	안녕하세요.			
12	5	9	2	안녕하세요.			
13	6	7	4	안녕하세요.			
14	7	1	7	안녕하세요.			
15	7	9	7	안녕하세요.			
16	8	8	2	안녕하세요.			
17	9	2	5	안녕하세요.			
18	9	3	5	안녕하세요.			
19	9	9	5	안녕하세요.			
20	11	4	6	안녕하세요.			
21	11	8	6	안녕하세요.			
22	12	3	5	안녕하세요.			
23	13	2	3	안녕하세요.			
24	13	7	3	안녕하세요.			
25	16	6	2	안녕하세요.			
26	18	5	7	안녕하세요.			
27	18	9	7	안녕하세요.			
28	19	3	4	안녕하세요.			
29	20	2	9	안녕하세요.			
30	20	3	9	안녕하세요.			
31	20	4	9	안녕하세요.			
32	20	7	9	안녕하세요.			
33	20	8	9	안녕하세요.			
