hno	pno	uno	
1	1	4	
2	2	1	
3	2	3	
4	2	5	
5	2	6	
6	2	7	
7	3	1	
8	3	8	
9	3	9	
10	4	2	
11	4	4	
12	4	6	
13	4	7	
14	5	0	
15	6	7	
16	6	9	
17	7	1	
18	7	2	
19	7	3	
20	7	5	
21	7	7	
22	7	8	
23	7	9	
24	8	8	
25	9	0	
26	10	3	
27	10	4	
28	11	2	
29	11	4	
30	11	5	
31	11	6	
32	11	7	
33	11	8	
34	11	9	
35	12	3	
36	12	8	
37	13	1	
38	13	2	
39	13	3	
40	13	5	
41	13	7	
42	13	8	
43	13	9	
44	14	1	
45	14	2	
46	14	4	
47	14	5	
48	15	0	
49	16	2	
50	16	6	
51	16	7	
52	16	8	
53	17	5	
54	18	1	
55	18	2	
56	18	3	
57	18	5	
58	18	7	
59	18	8	
60	18	9	
61	19	3	
62	19	7	
63	20	0	
