pno	ptitle	uno	price	dno	pex	pdate	cno	pchat	pheart	plook	x	y
1	카키 캔버스 스니커즈 270	6	30000	4	카키색 캔버스 스니커즈입니다<br>사이즈는 270mm입니다<br>캔버스 소재로 편하게 신기 좋아요<br>데일리로 신기 좋은 깔끔한 디자인입니다<br>택배만 합니다<br>무료택배	2026-07-21	1	0	1	12	0	0
2	블랜앤화이트 게이밍 의자(사용감 없음)	3	45000	6	편안한 게이밍 의자예요<br>블랙과 화이트 색상의 조화가 멋스러워요<br>장시간 컴퓨터 사용에도 편안함을 선사해요<br>집중력을 높여줄 게이밍 의자를 찾으시는 분들께 추천드려요	2026-08-11	1	2	5	24	0	0
3	김치냉장고	8	80000	1	사진으로 확인 가능한 제품입니다<br>넉넉한 용량으로 온 가족이 사용하기 좋아요<br>사용기간은오래되었습니다	2026-07-02	1	1	3	20	0	0
4	3색 바람막이 팝니다	1	20000	8	오염 이염 없는 바람막이 입니다<br>지금 날씨에 입기 딱 좋아요<br>사이즈는 M사이즙니다	2026-08-20	1	5	4	51	0	0
5	귀여운 갈색 곰인형	2	2000	7	보들보들한 촉감의 귀여운 갈색 곰인형이에요<br>어디에 두어도 인테리어 소품으로 활용하기 좋아요<br>선물하기에도 좋은 곰인형이랍니다	2026-08-09	1	3	6	37	0	0
6	아동 모자 (쌍둥이 가능)	4	7000	2	사이즈는 50이고 한개당 7,000원입니다<br>쌍둥이가능 중고라서 물건에 큰 하자 없으면 교환, 환불은 어려운 점 이해 부탁드려요<br>보지못한 미세오염이 있을수 있으니 직접 보시고 구매해주세요	2026-07-14	1	1	2	52	0	0
7	미개봉 새제품 선풍기	7	29900	3	택배거래시 택배비 부담해드립니다<br>직거래시 택배비 빼드리는거 없습니다<br>제품하자가 아닌 이유로 환불 불가한점 양해 부탁드립니다	2026-08-22	1	2	7	19	0	0
8	베이스 기타 패키지 세트	2	300000	5	베이스 기타 세트(기타&엠프) 판매합니다.<br>베이스 기타, 앰프, 스탠드, 케이블, 피크 등 세트 구성입니다.<br>상태는 사진과 같습니다<br>줄 변색 있습니다.	2026-07-29	1	1	1	44	0	0
9	버뮤다 팬츠 (청바지)	5	10000	6	한번 착용한 옷입니다<br>사이즈가 s인데 실제로는 M-L 정도 되는 것 같아요<br>커서 판매해요	2026-07-30	1	3	0	32	0	0
10	C파입 8핀 충전기	9	10000	8	C타입 8핀 라이트닝 케이블이에요<br>사진에서 보시는 것처럼 깔끔하게 보관되어 있어요<br>빠르고 안정적인 충전을 경험해보세요	2026-07-19	1	0	2	13	0	0
11	꼼꼼한 초중등 수학 과외 구합니다!	6	20000	1	과외 한 번할 때 20,000원<br>수요일 또는 금요일에 가능하고 한 시간동안 과외 해줄 분 찾아요	2026-08-02	2	2	7	56	160	246
12	성실하고 손 빠른 20대 알바 구합니다!	5	11250	3	율목동 카페 알바 구합니다.<br>시급 11,250원<br>오전 알바 저희와 함께할 분을 찾습니다.	2026-07-31	2	1	2	41	426	167
13	이사 정돈, 무거운 짐 옮기기 도와주실분!	3	30000	7	자취하려고 하는데 혼자서 짐 옮기기 힘드네요<br>같이 짐 옮겨주실 분 찾아요!	2026-08-17	2	2	5	70	67	334
14	반려동물 산책/돌봄 알바 구해요!	8	22000	4	강아지 키운지 지금 5년차입니다!<br>급한 일이 생겨서 5시간 정도 돌봐줄 분 구해요ㅠㅠ<br>강아지 온순하고 착해요<br>괜찮으면 강아지 키워보신 분이였으면 좋겠네요	2026-08-10	2	0	4	12	261	148
15	유아 음악 파견 강사 모집합니다.	7	16250	3	주 4일 근무<br>건당 16,250원<br>아이들을 사랑하고 유쾌발랄하신분!<br>10:00~15:30 가능하신분!	2026-08-09	2	0	0	9	515	348
16	고1 영어 내신/수능 과외 선생님 구해요	2	20000	2	고등학교 1학년 과외선생님을 구하고 있습니다.<br>수업은 학생 집에서 진행할 예정이며 편안한 환경에서 배우고 싶어합니다<br>연락기다립니다!	2026-08-21	2	1	3	25	324	322
17	홀서빙 알바 주말반 구합니다.	5	11000	5	주말 홀서빙 알바 구합니다.<br>시급은 11,000원이며 죄송하지만 외국인 채용은 안하고 있습니다.	2026-08-13	2	0	1	18	347	168
18	아이들과 야구해주실 분 구합니다!	7	12000	8	아이들과 즐겁게 운동해주실 편하게 모셔봅니다<br>시급은 12,000원이며 부담 없이 지원 가능합니다<br>근무 관련 내용은 편하게 문의 주세요!	2026-08-22	2	2	6	20	81	77
19	애플택배 배송 기사 구합니다.	4	4500000	6	월급 450만원입니다.<br>월요일 9시 출근, 나머지 요일은 7시 출근 화물운송자격증 취득자이신 분을 구합니다.<br>궁금한거 있으신 분은 문의 주세요!	2026-07-28	2	1	2	15	425	339
20	일신동 청소 해주실분?	9	24000	7	거실 간단하게 치우고 방 간단하게 닦으시고 곤충과 벌레를 별로 안무서워 하시는 분만 구해요…<br>바로 오셔서 청소 해주시면 돈 바로 드려요..	2026-08-20	2	5	0	40	170	408
