l_no	l_date	l_time	l_place	t_no	our_score	opposite_score
1	2026.08.25	17:00	광주	1	6	5
2	2026.08.26	17:00	광주	1	1	2
3	2026.08.27	17:00	문학	3	10	7
4	2026.08.30	17:00	문학	3	1	1
5	2026.08.31	17:00	창원	5	0	0
6	2026.09.01	17:00	창원	5	0	0
7	2026.09.02	17:00	사직	8	0	0
8	2026.09.03	17:00	사직	8	0	0
9	2026.09.04	17:00	수원	10	0	0
10	2026.09.05	17:00	수원	10	0	0
11	2026.09.06	17:00	대구	2	0	0
12	2026.09.07	17:00	대구	2	0	0
13	2026.09.08	17:00	고척	5	0	0
14	2026.09.09	17:00	고척	5	0	0
15	2026.09.10	17:00	창원	6	0	0
16	2026.09.11	17:00	창원	6	0	0
17	2026.09.12	17:00	잠실	9	0	0
18	2026.09.13	17:00	잠실	9	0	0
19	2026.09.14	17:00	문학	4	0	0
20	2026.09.15	17:00	문학	4	0	0
21	2026.09.16	17:00	고척	7	0	0
22	2026.09.17	17:00	고척	7	0	0
23	2026.09.18	17:00	사직	8	0	0
24	2026.09.19	17:00	사직	8	0	0
25	2026.09.20	17:00	광주	1	0	0
