hno	ono	hName	ratno	rno	ano	x	y	explanation
1	45	JW메리어트호텔 서울	1	1,2,3,4,5	2	820	360	품격과 세련미를 갖춘 호텔입니다.
2	2	서울강남호텔	5	1,2,3	4	170	390	아늑한 분위기의 총 객실 305실을 갖추고 있습니다.
3	13	더플라자	2	1,2,3,4,5	8	290	562	이 호텔은 도심의 중심에 위치하여 주요 관광지로의 접근성이 뛰어납니다.
4	22	파라다이스시티	2	1,2,3,4,5	5	370	600	가정적인 분위기와 따뜻한 환대로 편안한 숙박을 경험하세요.
5	14	베스트웨스턴	2	1,2,3,4,5	4	120	340	호텔 내 고급 스파와 마사지 시설로 휴식을 즐기세요.
6	32	쉐라톤호텔	3	1,2,3,4	13	190	300	현지 문화와 연결된 전통적인 호텔로 문화 체험을 즐길 수 있습니다.
7	22	롯데 호텔 월드	2	1,2,3,4,5	20	290	390	가격 대비 훌륭한 서비스와 편안한 객실을 제공하는 호텔입니다.
8	18	메이필드호텔	5	1,2,3	11	575	300	호텔 내 무료 셔틀 서비스로 도심과 주요 명소로 편리하게 이동할 수 있습니다.
9	34	L7 강남 바이 롯데	2	1,2,3,4,5	21	400	400	안전하고 조용한 환경으로 여행객에게 안락함을 제공합니다.
10	44	파크하얏트서울	5	1,2,3	25	670	250	호텔 레스토랑에서의 요리 수업과 와인 테이스팅으로 즐거운 시간을 보낼 수 있습니다.
11	35	서울가든호텔	3	1,2,3,4	10	540	130	호텔 내 아케이드와 엔터테인먼트 시설로 가족과 함께 즐거운 시간을 보낼 수 있습니다.
12	9	신세계조선호텔서울	2	1,2,3,4,5	22	290	260	바다 전망이 멋진 리조트로 휴식과 해변에서의 여유로운 시간을 즐길 수 있습니다.
13	5	올림픽 파크텔	3	1,2,3,5	21	450	420	가족 친화적인 호텔로 어린이 놀이터와 가족 행사를 위한 시설이 갖춰져 있습니다.
14	12	호텔삼정	5	1,2,3	5	420	560	비즈니스 여행객을 위한 편리한 위치와 모던한 비즈니스 시설이 갖춰진 호텔입니다.
15	7	신라스테이 광화문	3	1,2,3,4	19	130	430	스위트 스위트에서 로맨틱한 숙박을 즐길 수 있습니다.
16	14	네스트호텔	5	1,2,3	13	330	360	환경 친화적인 정책으로 지속 가능한 여행을 지원하는 호텔입니다.
17	1	그랜드 하얏트 서울	4	1,2,3	3	550	180	호텔 내 수영장과 루프탑 바에서 시원한 휴식을 즐길 수 있습니다.
18	42	페어몬트 앰버서더 서울	3	1,2,3,4	2	720	370	도심 속 고요한 정원으로 도시 소음을 벗어나세요.
19	47	글래드 강남 코엑스 센터	3	1,2,3,4	12	390	470	호텔 레스토랑에서 특별한 기념일 식사를 즐기세요.
20	42	워커힐 그랜드	4	1,2,3	11	600	260	온수 욕조와 키친을 갖춘 스위트 룸으로 편안한 숙박을 즐기세요.
21	44	베스트웨스턴프리미어	3	1,2,3,4	22	320	200	호텔 내 아동 돌봄 서비스로 가족 여행을 편리하게 계획하세요.
22	28	라마다 앙코르	5	1,2	2	750	400	호텔 주변의 자연 경치와 트레일로 하이킹을 즐기세요.
23	6	포시즌스호텔서울	2	1,2,3,4	23	470	310	현지 예술가의 작품과 갤러리가 있는 예술 호텔입니다.
24	19	르메르디앙서울호텔	5	1,2	13	270	330	바비큐 파티와 야외 풀로 친구와 가족과 함께 미소 짓게 하세요.
25	36	그랜드앰배서더서울	5	1,2	1	620	500	비즈니스 센터와 무료 와이파이로 비즈니스 여행을 효율적으로 계획하세요.
26	45	그랜드 인터컨티넨탈 서울 파르나스	2	1,2,3,4,5	18	650	450	마운틴 바이크 대여와 자전거 도로로 자전거 여행을 떠나세요.
27	11	센터마크 호텔	2	1,2,3,4,5	15	620	580	호텔 내 헬스 클럽과 요가 스튜디오로 건강과 휴식을 동시에 즐기세요.
28	15	노보텔앰배서더 강남	2	1,2,3,4,5	12	390	460	호텔 레스토랑의 채식 메뉴로 건강하게 다이닝하세요.
29	35	스위스그랜드호텔서울	1	1,2,3,4,5	15	650	550	안전하고 조용한 동네에 위치한 호텔로 평화로운 휴식을 즐기세요.
30	22	임피리얼팰리스호텔	1	1,2,3,4,5	5	320	530	스페셜 키즈 클럽과 엔터테인먼트로 아이들을 즐겁게 해주세요.
31	29	로얄호텔서울	4	1,2,3	5	350	540	호텔 내 바베큐 테라스로 야외 식사를 즐기세요.
32	17	세종호텔서울	4	1,2,3	6	620	400	체크인부터 체크아웃까지 고객 서비스가 탁월한 호텔입니다.
33	21	프레지던트호텔	3	1,2,3,5	21	415	360	호텔 내 말과 승마 활동으로 자연을 탐험하세요.
