reno	rvno	review	score
1	2986	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
2	2201	호텔 아니여도 근처에 먹을 만한 곳이 많아사 근처에서 밥먹고 산책가고 호텔 시성 즐기고 너무 좋아용	5
3	4298	사진이랑 다르게 생각보다 좋았어요~	4
4	2224	최고다 이건	5
5	4021	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
6	2187	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
7	1588	화장실에서 냄새가 납니다	2
8	1497	좋은데, 조금 마음에 안 드네요	4
9	3443	재방문의사있습니다.	5
10	2273	체크인이 불편한것 빼고는 만족했습니다	3
11	3443	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
12	995	프론트 직원이 너무 친절하지 않아요.	2
13	208	조금 낙후된부분들 레노하면 좋을거같아요	2
14	3400	글쎄요, 좋은 거 같은데 이 정도면..	3
15	902	가족들고 즐거운 시간 ^^	5
16	4059	다 좋은데 객실에 친환경으로 슬리퍼 칫솔치약을 안주는데 슬리퍼만 줬으면 더 좋았을거같아요	4
17	3784	아주 좋습니다.	5
18	3193	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
19	3466	조금 낙후된부분들 레노하면 좋을거같아요	2
20	4026	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
21	523	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
22	195	사진이랑 다르게 생각보다 좋았어요~	4
23	1728	다만 방음이 좀 안되는게 아쉬웠어요	4
24	251	편하게 잘 다녀 왔습니다^^	5
25	1486	담에는 다른곳 이용하려구요	1
26	1044	룸서비스(음식류) 안되는 것 제외하고는 강릉에서 손꼽는 편의성을 갖춘 호텔(가성비듀 쥬아여)	4
27	3439	오션뷰 진짜 너무 좋아요!!	5
