pno	pname	tno	deliver_days	base_weight(kg)	base_price	add_weight(kg)	add_price
1	의류	1	2	3	3000	1	500
2	가구	5	7	20	20000	5	5000
3	화장품	1	2	2	2500	1	800
4	신선식품	2	1	5	4000	1	1500
5	전자제품	6	3	10	7000	2	2000
6	도서	1	2	5	2500	2	700
7	반려용품	1	2	8	3500	2	1200
8	생활용품	1	3	10	4000	3	1500
9	스포츠용품	1	4	15	6000	5	2500
10	주방용품	1	3	7	3500	2	1200
11	유아용품	1	2	6	3200	2	1000
12	건강식품	1	2	4	3000	1	900
13	컴퓨터부품	6	2	3	4500	1	1500
14	악기	6	5	15	12000	5	4000
15	캠핑용품	1	5	20	15000	5	3500
16	꽃/화분	7	1	5	5000	1	2000
17	냉동식품	4	1	5	6000	1	2500
18	명품잡화	6	1	2	8000	1	3000
19	문구류	1	2	3	2200	1	500
20	자동차용품	5	4	15	9000	5	3000
