fno	fname	price	type
1	더블데리버거	5000	0
2	더블데리버거세트	8600	0
3	더블미라클버거	7200	0
4	더블미라클버거세트	10500	0
5	더블엑스투버거	7200	0
6	더블엑스투버거세트	10500	0
7	더블치킨버거	5800	0
8	더블클래식치즈버거(버터번)	7200	0
9	더블클래식치즈버거세트	10500	0
10	더블한우불고기버거	13000	0
11	더블한우불고기버거세트	16200	0
12	데리버거	3700	0
13	데리버거세트	7400	0
14	리아불고기	5000	0
15	리아불고기더블(빅불)	7600	0
16	리아불고기더블(빅불)세트	10900	0
17	리아불고기베이컨	6100	0
18	리아불고기베이컨세트	9600	0
19	리아불고기세트	8600	0
20	리아사각새우더블	6100	0
21	리아사각새우더블세트	9600	0
22	리아새우	5000	0
23	리아새우베이컨	6100	0
24	모짜렐라버거발사믹바질	9100	0
25	모짜렐라버거세트발사믹바질	12500	0
26	디지게 매운 돈까스(디진다맛)	3500	1
27	디지게 매운 돈까스(양념맛)	3500	1
28	양념너겟	3300	1
29	치킨너겟	3100	1
30	포테이토	2000	1
31	포테이토(L)	2500	1
32	양념감자	2600	1
33	치즈스틱	2800	1
34	롱치즈스틱	2400	1
35	통오징어링	2800	1
36	지파이 하바네로(L)	5500	1
37	지파이 고소한맛(S)	4500	1
38	코울슬로	1900	1
39	화이어윙	3200	2
40	치킨휠레	3100	2
41	치킨 1조각	2900	2
42	순살치킨 하프팩(11조각)	10500	2
43	후라이드 순살치킨 ®	11300	2
44	순살치킨 풀팩(22조각)	17500	2
45	후라이드 순살치킨(L)	18600	2
46	치킨다리 하프팩(4조각)	10900	2
47	콜라	2000	3
48	사이다	2000	3
49	제로슈거콜라	2000	3
50	말차라떼	3600	3
51	아이스티	2300	3
52	레몬에이드	2700	3
53	아메리카노	2500	3
54	아이스 아메리카노	2500	3
55	카페라떼(살균우유)	3300	3
56	아이스카페라떼(살균우유)	3300	3
57	오렌지주스(PET)	2500	3
58	핫초코	2500	3
59	팥빙수	6100	4
60	말차빙수	6100	4
61	토네이도 말차쿠키	3500	4
62	토네이도 망고젤리	3200	4
63	토네이도 초코쿠키	3200	4
64	토네이도 스트로베리	3200	4
65	토네이도 더블초코	3200	4
66	선데 아이스크림 플레임	2100	4
67	선테아이스크림 스토로베리	2300	4
68	선데 허쉬 초코	2300	4
69	소프트 콘	1300	4
