ono	uno	fno	name	date	type
1	1	1	1	2026-05-22	2
2	4	2	3	2026-05-23	2
3	2	3	2	2026-05-24	2
4	3	5	1	2026-05-25	2
5	1	3	1	2026-08-25	0
6	1	1	1	2026-08-25	0
7	1	7	2	2026-08-24	3
8	4	8	3	2026-08-23	3
9	2	10	1	2026-08-22	3
10	3	9	4	2026-08-21	3
11	1	20	2	2026-08-20	3
12	1	35	3	2026-08-19	3
13	1	62	5	2026-08-18	3
14	4	69	6	2026-08-17	3
15	2	25	8	2026-08-16	3
16	3	26	2	2026-08-15	3
17	1	24	4	2026-08-14	3
18	1	26	5	2026-08-13	3
19	5	15	1	2026-08-12	3
20	5	20	1	2026-08-11	3
21	3	1	1	2026-08-10	3
22	1	2	2	2026-08-09	3
23	3	3	3	2026-08-08	3
24	1	5	2	2026-08-07	3
25	1	3	4	2026-08-06	3
26	1	1	3	2026-08-05	3
27	4	7	5	2026-08-04	3
28	2	8	7	2026-08-03	3
29	3	10	5	2026-08-02	3
30	1	9	7	2026-08-01	3
31	1	20	4	2026-07-31	3
32	5	35	6	2026-07-30	3
33	5	62	4	2026-07-29	3
34	1	69	5	2026-07-28	3
35	1	25	1	2026-07-27	3
36	4	26	2	2026-07-26	3
37	2	24	1	2026-07-25	3
38	3	26	1	2026-07-24	3
39	1	15	1	2026-07-23	3
40	1	20	1	2026-07-22	3
41	5	1	1	2026-07-21	3
42	5	2	1	2026-07-20	3
43	3	3	1	2026-07-19	3
44	1	5	2	2026-07-18	3
45	1	3	2	2026-07-17	3
46	1	1	2	2026-07-16	3
47	4	7	2	2026-07-15	3
48	2	8	3	2026-07-14	3
49	3	10	3	2026-07-13	3
50	1	9	3	2026-07-12	3
51	1	20	3	2026-07-11	3
52	5	35	1	2026-07-10	3
53	5	62	3	2026-07-09	3
54	3	69	2	2026-07-08	3
55	1	25	1	2026-07-07	3
56	1	26	1	2026-07-06	3
57	1	24	1	2026-07-05	3
58	4	26	2	2026-07-04	3
59	2	15	3	2026-07-03	3
60	3	20	1	2026-07-02	3
61	1	1	4	2026-07-01	3
62	1	2	2	2026-06-30	3
63	5	3	3	2026-06-29	3
64	5	5	5	2026-06-28	3
65	1	3	6	2026-06-27	3
66	1	1	8	2026-06-26	3
67	5	7	2	2026-06-25	3
68	5	8	4	2026-06-24	3
69	3	10	5	2026-06-23	3
70	1	9	1	2026-06-22	3
71	1	20	1	2026-06-21	3
72	1	35	1	2026-06-20	3
73	4	62	2	2026-06-19	3
74	2	69	3	2026-06-18	3
75	3	25	2	2026-06-17	3
76	1	26	4	2026-06-16	3
77	1	24	3	2026-06-15	3
78	5	26	5	2026-06-14	3
79	5	15	7	2026-06-13	3
