rno	ono	review	star	uno
1	1	연결도 빠르고 음질이 아주 깔끔하네요.	5	7
2	2	가성비 최고입니다. 배송도 빨랐어요.	4	10
3	3	노이즈 캔슬링 성능이 기대 이상입니다.	5	48
4	6	클릭감이 경쾌해서 게임할 때 즐겁습니다.	4	37
5	7	디자인이 예쁘고 손에 착 감기네요.	5	31
6	10	타건감이 너무 좋아서 업무 효율이 올라가요.	5	25
7	11	소음이 조금 있는 편이지만 만족합니다.	3	50
8	12	불빛 들어오는 게 너무 영롱하네요.	5	22
9	13	키보드 높이가 적당해서 손목이 덜 아파요.	4	40
10	16	화질이 정말 선명하고 베젤이 얇아서 보기 좋아요.	5	4
11	17	색감이 풍부해서 영상 편집용으로 딱입니다.	4	8
12	19	무게는 좀 있지만 용량이 커서 든든해요.	4	28
13	20	고속 충전 지원이라 금방 충전되네요.	5	33
14	21	캠핑 가서 유용하게 잘 썼습니다.	5	29
15	23	건강 관리 기능이 다양해서 부모님 선물로 드렸어요.	5	14
16	24	배터리가 생각보다 오래가서 편하네요.	4	45
17	26	화면이 시원시원하고 터치 반응이 빠릅니다.	5	6
18	28	팬 소음이 거의 없어서 조용하게 사용 중입니다.	4	31
19	29	노트북 열기를 잘 잡아줘서 안심이에요.	4	36
20	31	줄이 튼튼해서 단선 걱정 없을 것 같아요.	5	46
21	32	길이가 넉넉해서 침대에서 쓰기 좋습니다.	5	45
22	34	충전 인식이 빠르고 발열도 적네요.	4	8
23	35	디자인이 깔끔해서 데스크테리어에 좋습니다.	5	17
24	37	코팅 없는 팬이라 건강 걱정 없이 써요.	5	48
25	38	관리가 조금 어렵지만 요리 맛은 확실히 다르네요.	4	45
26	39	색감이 너무 예쁘고 내열성도 좋아요.	5	16
27	40	주방 분위기가 확 살아나네요.	5	12
28	41	기름 없이 튀겨도 바삭하고 맛있어요.	5	9
29	42	조작법이 간단해서 누구나 쓰기 쉽겠어요.	4	3
30	43	물이 정말 빨리 끓어서 컵라면 먹을 때 좋아요.	5	12
31	45	절삭력이 좋아서 요리가 훨씬 편해졌습니다.	5	9
32	46	그립감이 좋아서 장시간 써도 손이 안 아파요.	4	25
33	48	냉장고 정리가 한결 깔끔해졌습니다.	5	21
34	49	유리라 위생적이고 튼튼하네요.	5	48
35	50	샐러드 담아두면 플레이팅이 너무 예뻐요.	5	11
36	51	크기가 넉넉해서 활용도가 높습니다.	4	35
37	52	힘들이지 않고 와인을 딸 수 있어 혁신템입니다.	5	16
38	54	거품이 쫀쫀하게 잘 나와서 아이들이 좋아해요.	5	28
39	55	디자인이 심플해서 욕실에 잘 어울립니다.	5	34
40	56	다지기 성능이 좋아서 볶음밥 할 때 편해요.	4	36
41	58	면 재질은 좋은데 세탁하니까 줄어드네요.	2	25
42	59	디자인은 예쁜데 실밥 처리가 엉망이에요.	3	26
43	62	바람이 잘 통하고 시원해서 여름에 딱입니다.	5	2
44	63	사이즈가 너무 크게 나왔어요. 한 치수 작게 사세요.	2	39
45	64	가볍게 들고 다니기 좋은데 끈이 좀 약해 보여요.	3	22
46	66	가죽 질감은 좋은데 카드를 꽉 채우면 안 닫혀요.	3	1
47	67	색상이 화면이랑 너무 달라요. 실망입니다.	1	21
48	68	발볼이 너무 좁게 나와서 발이 아파요.	2	15
49	69	가성비는 최고입니다. 운동할 때 편해요.	4	44
50	71	햇빛 차단은 잘 되는데 모자가 너무 깊어서 앞이 안 보여요.	3	45
51	72	디자인이 촌스러워요. 반품하려다 귀찮아서 그냥 둡니다.	1	25
52	73	부드럽고 따뜻해요. 올겨울 잘 보낼 것 같습니다.	5	8
53	74	털 빠짐이 너무 심해서 검은 옷에 다 묻네요.	2	13
54	75	안경은 가벼운데 코 받침이 자꾸 내려가요.	3	15
55	76	눈이 확실히 덜 피로합니다. 사무실 필수템!	5	43
56	78	시계 디자인은 예쁜데 초침 소리가 생각보다 커요.	3	21
57	79	배터리가 금방 닳네요. 중고 상품 받은 기분이에요.	1	48
58	81	신축성이 없어서 입고 벗기 너무 힘드네요.	2	19
59	82	색깔별로 다 샀어요. 요가할 때 정말 편합니다.	5	27
60	83	보습력은 좋은데 끈적임이 너무 오래가요.	3	25
61	84	향이 너무 강해서 머리가 아플 정도입니다.	1	5
