ono	pno	uno	date	quantity
1	1	7	2026-02-14	3
2	1	10	2026-05-03	3
3	1	48	2026-01-12	5
4	1	22	2026-03-25	1
5	1	15	2026-07-08	2
6	2	37	2026-04-19	4
7	2	31	2026-06-22	1
8	2	9	2026-01-30	5
9	2	44	2026-08-01	4
10	3	25	2026-02-28	1
11	3	50	2026-05-15	2
12	3	22	2026-03-10	5
13	3	40	2026-01-05	1
14	3	11	2026-07-14	1
15	3	3	2026-04-20	1
16	4	4	2026-02-11	2
17	4	8	2026-06-05	1
18	4	21	2026-08-15	3
19	5	28	2026-03-22	2
20	5	33	2026-05-30	4
21	5	29	2026-01-18	1
22	5	12	2026-04-09	4
23	6	14	2026-02-05	5
24	6	45	2026-07-21	3
25	6	2	2026-03-14	1
26	7	6	2026-06-11	4
27	7	39	2026-01-25	4
28	8	18	2026-04-30	3
29	8	27	2026-08-05	2
30	8	5	2026-02-18	4
31	9	36	2026-05-12	1
32	9	42	2026-03-01	2
33	9	1	2026-07-19	1
34	10	41	2026-01-20	4
35	10	13	2026-04-22	2
36	10	49	2026-06-30	1
37	11	10	2026-02-15	1
38	11	23	2026-05-18	3
39	12	31	2026-03-12	1
40	12	4	2026-08-11	1
41	13	2	2026-01-28	5
42	13	44	2026-04-05	4
43	14	27	2026-06-25	2
44	14	8	2026-02-09	2
45	15	19	2026-05-20	2
46	15	35	2026-07-12	2
47	15	47	2026-01-15	5
48	16	11	2026-03-29	4
49	16	26	2026-06-08	5
50	17	20	2026-04-14	2
51	17	3	2026-08-19	3
52	18	34	2026-02-22	1
53	18	46	2026-05-07	1
54	19	1	2026-01-09	3
55	19	25	2026-07-02	3
56	20	38	2026-03-17	4
57	20	9	2026-06-14	5
58	21	12	2026-03-05	1
59	21	30	2026-06-18	4
60	21	4	2026-01-22	1
61	21	18	2026-07-10	3
62	22	25	2026-04-12	4
63	22	5	2026-02-28	1
64	23	41	2026-05-14	4
65	23	10	2026-08-01	2
66	24	3	2026-01-15	4
67	24	36	2026-03-29	4
68	25	2	2026-06-11	4
69	25	49	2026-02-04	5
70	25	17	2026-07-25	5
71	26	19	2026-04-20	1
72	26	8	2026-01-30	5
73	27	24	2026-05-08	2
74	27	47	2026-08-14	3
75	28	33	2026-02-12	3
76	28	1	2026-06-25	4
77	28	14	2026-03-19	5
78	29	15	2026-07-02	3
79	29	22	2026-01-08	4
80	29	39	2026-04-15	5
81	30	7	2026-05-30	5
82	30	44	2026-08-19	2
83	31	21	2026-02-22	5
84	31	48	2026-06-14	1
85	32	13	2026-01-10	1
86	32	27	2026-04-03	2
87	33	9	2026-07-18	1
88	33	35	2026-02-05	1
89	34	50	2026-05-22	5
90	34	26	2026-08-07	2
91	35	43	2026-03-14	4
92	35	6	2026-06-01	3
93	36	32	2026-01-27	4
94	36	11	2026-04-29	4
95	37	20	2026-07-11	5
96	37	45	2026-02-16	5
97	38	34	2026-05-05	3
98	38	2	2026-08-10	2
99	39	16	2026-03-24	4
100	39	40	2026-06-30	4
101	40	38	2026-01-19	3
102	40	23	2026-04-10	5
103	40	4	2026-07-05	4
104	41	18	2026-01-15	2
105	41	47	2026-03-22	4
106	41	5	2026-06-08	5
107	42	12	2026-02-14	5
108	42	29	2026-05-19	3
109	42	33	2026-08-01	2
110	43	1	2026-01-20	3
111	43	10	2026-04-11	3
112	43	26	2026-07-15	4
113	44	44	2026-02-28	4
114	44	8	2026-05-05	2
115	44	22	2026-06-20	4
116	45	31	2026-03-12	5
117	45	4	2026-07-29	5
118	46	15	2026-01-25	2
119	46	50	2026-04-18	3
120	47	21	2026-05-30	4
121	47	36	2026-08-11	4
122	48	27	2026-02-10	1
123	48	9	2026-06-14	3
124	49	42	2026-03-05	5
125	49	14	2026-07-22	2
126	50	3	2026-01-11	3
127	50	38	2026-04-09	5
128	50	25	2026-06-25	4
129	51	13	2026-02-19	4
130	51	49	2026-05-15	2
131	51	7	2026-08-03	4
132	52	32	2026-01-28	1
133	52	11	2026-03-24	4
134	52	2	2026-07-01	5
135	53	40	2026-04-22	4
136	53	19	2026-06-12	5
137	54	35	2026-02-05	3
138	54	6	2026-05-18	4
139	54	41	2026-08-14	4
140	55	23	2026-03-11	5
141	55	45	2026-06-02	4
142	56	17	2026-01-19	4
143	56	43	2026-07-09	2
144	57	30	2026-04-14	1
145	57	12	2026-05-27	2
146	58	28	2026-02-22	2
147	58	20	2026-06-17	3
148	58	34	2026-08-05	5
149	59	39	2026-01-30	3
150	59	16	2026-05-11	4
151	59	48	2026-07-20	4
152	60	24	2026-03-08	4
153	60	37	2026-06-24	4
154	61	28	2026-02-14	5
155	61	12	2026-05-03	5
156	61	44	2026-01-22	4
157	62	4	2026-03-25	3
158	62	25	2026-07-08	2
159	62	50	2026-08-15	4
160	63	5	2026-04-19	2
161	63	11	2026-06-22	2
162	64	41	2026-01-30	2
163	64	10	2026-08-01	4
164	65	3	2026-02-28	4
165	65	36	2026-05-15	4
166	65	22	2026-03-10	3
167	66	2	2026-01-05	2
168	66	49	2026-07-14	2
169	67	19	2026-04-20	5
170	67	8	2026-02-11	5
171	68	24	2026-06-05	3
172	68	47	2026-08-15	4
173	69	33	2026-03-22	4
174	69	1	2026-05-30	5
175	70	14	2026-01-18	1
176	70	15	2026-04-09	3
177	71	22	2026-02-05	4
178	71	39	2026-07-21	1
179	72	7	2026-03-14	4
180	72	44	2026-06-11	2
181	73	21	2026-01-25	2
182	73	48	2026-04-30	1
183	73	12	2026-08-05	5
184	74	13	2026-02-18	2
185	74	27	2026-05-12	3
186	75	9	2026-03-01	1
187	75	35	2026-07-19	3
188	76	50	2026-01-20	4
189	76	26	2026-04-22	3
190	77	43	2026-06-30	2
191	77	6	2026-02-15	1
192	78	32	2026-05-18	2
193	78	11	2026-03-12	1
194	79	20	2026-08-11	2
195	79	45	2026-01-28	2
196	80	34	2026-04-05	2
197	80	2	2026-06-25	1
198	80	18	2026-02-09	4
199	81	15	2026-01-12	4
200	81	33	2026-04-05	5
201	81	9	2026-07-20	1
202	82	41	2026-02-18	2
203	82	22	2026-06-11	4
204	83	1	2026-01-25	2
205	83	14	2026-03-30	3
206	83	39	2026-08-05	5
207	84	7	2026-05-12	1
208	84	44	2026-02-10	3
209	85	21	2026-03-15	5
210	85	48	2026-06-22	3
211	85	10	2026-08-11	1
212	86	13	2026-01-30	4
213	86	27	2026-04-19	1
214	87	9	2026-02-05	2
215	87	35	2026-05-28	3
216	87	50	2026-07-14	3
217	88	26	2026-03-12	3
218	88	4	2026-06-08	3
219	89	43	2026-01-19	1
220	89	6	2026-04-25	3
221	90	32	2026-07-02	5
222	90	11	2026-02-14	5
223	91	20	2026-05-09	2
224	91	45	2026-08-19	1
225	92	34	2026-01-28	1
226	92	2	2026-04-11	5
227	93	18	2026-06-30	4
228	93	47	2026-03-05	4
229	94	24	2026-02-12	3
230	94	37	2026-05-15	1
231	95	28	2026-07-08	2
232	95	12	2026-01-22	2
233	96	5	2026-04-03	5
234	96	30	2026-06-18	1
235	97	41	2026-08-01	2
236	97	10	2026-02-28	1
237	98	3	2026-05-14	5
238	98	36	2026-03-25	4
239	99	22	2026-01-08	3
240	99	17	2026-07-11	4
241	100	2	2026-04-20	3
242	100	49	2026-06-14	3
243	101	19	2026-01-15	5
244	101	31	2026-03-22	3
245	101	47	2026-05-10	5
246	101	5	2026-07-18	2
247	102	12	2026-02-14	1
248	102	29	2026-04-09	4
249	103	44	2026-06-21	2
250	103	8	2026-01-30	1
251	103	22	2026-08-05	3
252	104	1	2026-02-11	5
253	104	10	2026-05-30	3
254	104	26	2026-07-14	5
255	105	33	2026-01-25	1
256	105	14	2026-04-20	2
257	106	39	2026-03-12	4
258	106	16	2026-06-08	4
259	107	7	2026-08-11	1
260	107	44	2026-02-28	2
261	108	21	2026-05-05	3
262	108	48	2026-07-19	1
263	109	13	2026-01-10	2
264	109	27	2026-04-14	2
265	109	9	2026-08-01	4
266	110	35	2026-03-05	3
267	110	50	2026-06-15	5
268	111	26	2026-01-20	1
269	112	4	2026-04-22	3
270	112	43	2026-07-11	1
271	112	6	2026-02-15	1
272	113	32	2026-05-18	1
273	113	11	2026-08-10	1
274	114	20	2026-03-24	3
275	114	45	2026-06-30	2
276	114	3	2026-01-19	1
277	115	34	2026-04-10	3
278	115	2	2026-07-05	3
279	116	18	2026-02-12	4
280	117	47	2026-05-25	5
281	118	24	2026-01-08	2
282	118	37	2026-03-19	5
283	119	28	2026-06-14	5
284	119	12	2026-08-19	1
285	120	5	2026-01-22	1
286	120	30	2026-04-29	2
287	121	41	2026-02-14	1
288	121	10	2026-05-03	3
289	122	3	2026-01-22	2
290	122	36	2026-03-12	3
291	122	15	2026-08-01	2
292	123	22	2026-04-19	5
293	123	17	2026-06-22	5
294	124	2	2026-01-30	5
295	124	49	2026-08-15	3
296	124	31	2026-03-25	4
297	125	19	2026-05-15	4
298	125	31	2026-02-28	3
299	126	12	2026-01-05	4
300	126	29	2026-07-14	5
301	127	44	2026-04-20	2
302	127	8	2026-02-11	1
303	128	1	2026-06-05	4
304	128	10	2026-08-15	5
305	128	24	2026-03-22	4
306	129	33	2026-05-30	3
307	129	14	2026-01-18	5
308	130	39	2026-04-09	5
309	130	16	2026-07-08	1
310	131	7	2026-02-05	3
311	131	44	2026-07-21	5
312	132	21	2026-03-14	3
313	132	48	2026-06-11	2
314	133	13	2026-01-25	3
315	133	27	2026-04-30	4
316	133	5	2026-08-05	3
317	134	35	2026-02-18	5
318	134	50	2026-05-12	4
319	135	26	2026-03-01	4
320	135	11	2026-07-19	2
321	136	4	2026-01-20	2
322	136	43	2026-04-22	5
323	137	32	2026-06-30	3
324	137	11	2026-02-15	2
325	138	20	2026-05-18	5
326	138	45	2026-03-12	4
327	139	34	2026-08-11	1
328	139	2	2026-01-28	5
329	140	18	2026-04-05	5
330	140	47	2026-06-25	1
331	140	9	2026-02-09	3
332	141	24	2026-02-14	2
333	141	37	2026-05-03	1
334	142	28	2026-01-22	3
335	142	12	2026-03-12	1
336	142	44	2026-08-01	4
337	143	4	2026-04-19	5
338	143	25	2026-06-22	2
339	144	50	2026-01-30	2
340	144	5	2026-08-15	4
341	145	41	2026-03-25	1
342	145	10	2026-05-15	5
343	145	3	2026-02-28	5
344	146	36	2026-01-05	4
345	146	22	2026-07-14	5
346	147	2	2026-04-20	2
347	147	49	2026-02-11	2
348	148	19	2026-06-05	1
349	148	31	2026-08-15	3
350	149	12	2026-03-22	3
351	149	29	2026-05-30	4
352	150	44	2026-01-18	2
353	150	8	2026-04-09	4
354	151	1	2026-02-05	1
355	151	10	2026-07-21	3
356	151	33	2026-03-14	5
357	152	14	2026-06-11	1
358	152	39	2026-01-25	4
359	153	7	2026-04-30	4
360	153	44	2026-08-05	1
361	154	21	2026-02-18	4
362	154	48	2026-05-12	3
363	155	13	2026-03-01	5
364	155	27	2026-07-19	5
365	156	9	2026-01-20	3
366	156	35	2026-04-22	4
367	157	50	2026-06-30	1
368	157	26	2026-02-15	2
369	158	4	2026-05-18	1
370	158	43	2026-03-12	3
371	159	32	2026-08-11	4
372	159	11	2026-01-28	2
373	160	20	2026-04-05	3
