s_no,tick,change_pct,volume
1,1,-0.134,4072
1,2,-0.315,4705
1,3,-0.215,4779
1,4,-0.024,4317
1,5,0.092,4492
1,6,0.103,3822
1,7,0.664,5102
1,8,0.329,4770
1,9,-0.491,4083
1,10,-0.690,5150
1,11,0.623,5232
1,12,-0.373,4875
1,13,0.250,4345
1,14,0.270,4012
1,15,-0.393,4882
1,16,0.342,4323
1,17,-0.046,4184
1,18,-0.154,4281
1,19,-0.048,4040
1,20,0.450,4102
1,21,0.232,4016
1,22,0.419,4630
1,23,-0.219,4290
1,24,-0.298,4081
1,25,0.288,4886
1,26,-0.691,4313
1,27,0.826,4994
1,28,0.196,4672
1,29,-0.209,4629
1,30,0.148,4076
1,31,-0.402,4257
1,32,0.381,4663
1,33,0.972,5263
1,34,-0.145,4374
1,35,-0.253,4014
1,36,-0.276,4204
1,37,-0.390,3996
1,38,-0.226,4100
1,39,0.513,4414
1,40,0.201,4753
1,41,0.487,4566
1,42,0.187,4068
1,43,-0.611,4570
1,44,-0.038,3834
1,45,-0.058,4215
1,46,0.305,4723
1,47,0.901,5298
1,48,0.524,4403
1,49,-0.410,5011
1,50,0.297,4576
1,51,0.400,4562
1,52,-0.498,4066
1,53,0.151,4037
1,54,-0.302,3890
1,55,-0.762,4944
1,56,-0.101,4635
1,57,-0.713,4640
1,58,1.228,5336
1,59,0.185,3797
1,60,-0.191,3796
1,61,-0.262,4304
1,62,-0.337,4697
1,63,-0.093,3979
1,64,-0.165,4753
1,65,-0.143,4211
1,66,0.099,4413
1,67,0.429,4679
1,68,0.011,4027
1,69,0.637,5262
1,70,0.195,3922
1,71,0.213,4010
1,72,-0.053,4192
1,73,-0.814,4892
1,74,-0.338,4798
1,75,0.055,4677
1,76,0.373,4579
1,77,-0.642,4412
1,78,0.125,4514
1,79,-0.308,4245
1,80,-0.600,4880
1,81,0.504,4871
1,82,0.553,4494
1,83,0.093,4250
1,84,-0.033,4592
1,85,0.698,4700
1,86,-0.043,3861
1,87,-0.510,4952
1,88,0.657,4796
1,89,-0.729,4781
1,90,0.015,4534
1,91,-0.762,4319
1,92,0.021,4598
1,93,-0.362,4652
1,94,0.260,4630
1,95,-0.483,4568
1,96,-0.121,4176
1,97,0.171,4122
1,98,0.839,4945
1,99,0.032,4339
1,100,0.138,3809
1,101,0.279,4019
1,102,-0.061,3878
1,103,-0.079,4583
1,104,-0.181,3908
1,105,0.228,4316
1,106,0.015,4004
1,107,0.493,4231
1,108,0.216,4617
1,109,-0.012,4326
1,110,0.483,4903
1,111,0.323,3840
1,112,-0.120,4047
1,113,0.040,3710
1,114,-0.456,5028
1,115,0.084,3878
1,116,-0.244,4275
1,117,0.005,4422
1,118,-0.445,4112
1,119,0.193,4302
1,120,-0.410,4957
1,121,0.354,4139
1,122,0.394,4530
1,123,-0.228,4565
1,124,-0.052,3798
1,125,-0.091,4669
1,126,0.503,4682
1,127,0.295,4930
1,128,-0.522,4340
1,129,-0.449,4943
1,130,-0.192,4334
1,131,0.451,4850
1,132,-0.285,4172
1,133,0.051,3998
1,134,0.237,3849
1,135,0.029,4559
1,136,0.370,4669
1,137,0.437,4100
1,138,1.215,5059
1,139,0.475,5015
1,140,0.066,4441
1,141,0.239,4191
1,142,-0.054,4492
1,143,0.090,3921
1,144,0.033,4484
1,145,-0.132,4365
1,146,0.553,4100
1,147,0.033,3626
1,148,0.299,4100
1,149,0.532,4355
1,150,0.284,4130
1,151,-0.086,3868
1,152,-0.277,4854
1,153,0.069,4267
1,154,0.165,4246
1,155,0.294,4348
1,156,-0.243,4176
1,157,0.477,4711
1,158,-0.349,3923
1,159,0.293,4724
1,160,0.146,4710
1,161,-0.102,4275
1,162,-0.547,4653
1,163,0.327,4903
1,164,-0.308,4388
1,165,-0.211,4812
1,166,-0.565,4774
1,167,1.250,4931
1,168,-0.434,4153
1,169,0.528,4213
1,170,0.802,4991
1,171,0.375,4600
1,172,-0.349,4085
1,173,0.131,4103
1,174,0.104,4673
1,175,0.559,5075
1,176,0.725,4700
1,177,0.040,4324
1,178,-0.431,4592
1,179,-0.654,4818
1,180,-0.382,4289
1,181,-0.017,3586
1,182,0.344,4166
1,183,0.021,4185
1,184,-0.135,4247
1,185,-0.188,3751
1,186,-0.105,3634
1,187,-0.419,4646
1,188,-0.798,4595
1,189,0.200,4156
1,190,0.250,3915
1,191,0.228,3866
1,192,0.303,4089
1,193,0.136,3738
1,194,-0.437,5101
1,195,-0.414,4986
1,196,0.020,4145
1,197,0.769,4999
1,198,0.142,4629
1,199,-0.053,3654
1,200,1.231,5845
1,201,0.284,3942
1,202,-0.597,4130
1,203,-0.384,4528
1,204,-0.261,4034
1,205,-0.463,4613
1,206,0.156,4401
1,207,0.889,5126
1,208,0.026,4345
1,209,-0.326,4324
1,210,0.040,4132
1,211,0.159,3805
1,212,-0.176,3962
1,213,0.040,3849
1,214,-0.332,4965
1,215,0.208,4186
1,216,0.071,3938
1,217,-0.762,4484
1,218,0.237,4739
1,219,-0.320,3955
1,220,-0.359,4954
1,221,-0.113,4435
1,222,-0.028,3616
1,223,-0.536,4269
1,224,0.138,4759
1,225,-0.765,5128
1,226,-0.110,4600
1,227,-0.074,3782
1,228,-0.068,3908
1,229,-0.689,4218
1,230,0.256,4225
1,231,0.102,4378
1,232,0.741,4413
1,233,-0.188,4445
1,234,0.264,4818
1,235,-0.197,3701
1,236,0.024,3946
1,237,-0.183,3694
1,238,-0.065,4417
1,239,0.443,5003
1,240,-0.369,4514
1,241,-0.587,4615
1,242,-0.345,4836
1,243,0.310,4828
1,244,0.524,4104
1,245,-0.552,4329
1,246,0.766,4578
1,247,-0.565,4611
1,248,-0.047,3818
1,249,-0.442,4828
1,250,0.118,4260
1,251,0.663,4865
1,252,0.216,4448
1,253,0.655,4499
1,254,-0.095,4400
1,255,-0.085,4301
1,256,0.291,3870
1,257,0.210,3810
1,258,1.017,5687
1,259,-0.348,3958
1,260,-0.408,4593
1,261,-0.303,4396
1,262,0.541,4488
1,263,-0.633,4770
1,264,0.375,4265
1,265,0.332,4071
1,266,-0.123,3820
1,267,-0.140,3826
1,268,0.070,4672
1,269,-0.131,3772
1,270,0.497,4961
1,271,0.447,4019
1,272,-0.273,4041
1,273,-0.439,4560
1,274,-0.757,4714
1,275,0.075,4721
1,276,-0.008,3797
1,277,-0.977,4545
1,278,0.385,4117
1,279,-0.260,3785
1,280,-0.133,3888
1,281,1.287,4979
1,282,0.287,4881
1,283,0.136,3941
1,284,0.069,4173
1,285,0.090,4084
1,286,-0.226,4786
1,287,-0.267,4743
1,288,-0.402,4058
1,289,-0.237,4744
1,290,0.044,3992
1,291,0.255,4674
1,292,-0.418,4880
1,293,-0.367,4205
1,294,0.286,4017
1,295,0.203,4512
1,296,0.445,4429
1,297,0.236,4445
1,298,-0.395,4628
1,299,-0.026,4250
1,300,-0.191,4340
1,301,-0.497,4254
1,302,-0.085,4241
1,303,-0.189,4464
1,304,-0.357,5013
1,305,-0.270,3950
1,306,0.549,4430
1,307,0.055,4593
1,308,0.684,4588
1,309,0.302,4034
1,310,0.036,3620
1,311,-0.152,4529
1,312,-0.084,4736
1,313,-0.358,4869
1,314,-0.251,3991
1,315,0.319,4255
1,316,-0.505,4559
1,317,-0.740,5133
1,318,0.354,4658
1,319,0.426,4797
1,320,-0.723,4442
1,321,-0.143,4188
1,322,0.254,3807
1,323,-0.197,4680
1,324,-0.341,4660
1,325,-0.479,4987
