hno	hname	ano	gno	haddress	hinfo	roomtype	roomcnt
1	서울그랜드호텔	1	101	서울 강남구 역삼동	도심 속 럭셔리와 편안함을 동시에 느낄 수 있는 프리미엄 호텔입니다.	1,2,3,4	10,20,30,40
2	부산비치호텔	2	102	부산 해운대구 우동	해운대 바다 전망과 함께 여유로운 휴식을 즐길 수 있는 호텔입니다.	1,2,3,4	8,15,25,30
3	인천스카이호텔	3	103	인천 중구 운서동	공항 접근성이 뛰어나 비즈니스와 여행에 최적화된 호텔입니다.	1,2,3,4	5,10,20,25
4	광주센트럴호텔	4	104	광주 서구 치평동	광주의 중심에서 편리한 이동과 아늑한 휴식을 제공합니다.	1,2,3,4	6,12,18,24
5	대전파크호텔	5	105	대전 유성구 봉명동	유성 온천과 가까워 힐링 여행에 적합한 호텔입니다.	1,2,3,4	7,14,21,28
6	대구프라임호텔	6	101	대구 수성구 범어동	세련된 객실과 최고의 서비스를 제공하는 프리미엄 호텔입니다.	1,2,3,4	9,18,27,36
7	울산오션호텔	7	102	울산 남구 삼산동	탁 트인 도시 전망과 함께 편안한 숙박을 제공합니다.	1,2,3,4	10,15,20,25
8	경기타워호텔	8	103	경기 수원시 영통구	비즈니스와 가족 여행 모두 만족할 수 있는 모던 호텔입니다.	1,2,3,4	12,18,24,30
9	강원설악호텔	9	104	강원 속초시 교동	설악산 자연 풍경과 함께하는 힐링 호텔입니다.	1,2,3,4	8,16,24,32
10	세종시티호텔	10	105	세종 한솔동	세종 중심지에 위치한 깔끔하고 편리한 시티 호텔입니다.	1,2,3,4	6,12,18,24
11	충북레지던스호텔	11	101	충북 청주시 흥덕구	장기 숙박과 출장 고객에게 최적화된 레지던스형 호텔입니다.	1,2,3,4	10,20,30,40
12	충남베스트호텔	12	102	충남 천안시 서북구	합리적인 가격과 편안한 시설을 갖춘 인기 호텔입니다.	1,2,3,4	7,14,21,28
13	경북프라자호텔	13	103	경북 포항시 남구	관광과 비즈니스 모두 편리한 위치의 호텔입니다.	1,2,3,4	9,18,27,36
14	경남스카이호텔	14	104	경남 창원시 성산구	도심 전망과 함께 쾌적한 객실을 제공하는 호텔입니다.	1,2,3,4	8,16,24,32
15	전북리버호텔	15	105	전북 전주시 완산구	전주 감성과 함께하는 편안한 휴식 공간입니다.	1,2,3,4	11,22,33,44
16	전남씨뷰호텔	16	101	전남 여수시 학동	아름다운 바다 전망과 낭만적인 분위기를 자랑하는 호텔입니다.	1,2,3,4	10,20,30,40
17	제주하버호텔	17	102	제주 제주시 연동	제주의 감성과 편안함을 동시에 느낄 수 있는 호텔입니다.	1,2,3,4	15,25,35,45
18	서울리버호텔	1	103	서울 영등포구 여의도동	한강 인근에서 여유로운 휴식을 즐길 수 있는 호텔입니다.	1,2,3,4	9,18,27,36
19	부산마린호텔	2	104	부산 동래구 온천동	부산의 바다를 가까이에서 즐길 수 있는 감성 호텔입니다.	1,2,3,4	8,16,24,32
20	경기프리미어호텔	8	105	경기 고양시 일산동구	넓은 객실과 다양한 편의시설을 갖춘 프리미엄 호텔입니다.	1,2,3,4	12,24,36,48
21	제주블루리조트	17	201	제주 서귀포시 중문동	푸른 제주 바다와 함께하는 럭셔리 리조트입니다.	1,2,3	20,30,40
22	강원설악리조트	9	202	강원 속초시 노학동	자연 속에서 힐링을 즐길 수 있는 설악 리조트입니다.	1,2,3	15,25,35
23	부산오션리조트	2	203	부산 기장군 일광읍	오션뷰와 함께 특별한 휴가를 보낼 수 있는 리조트입니다.	1,2,3	18,28,38
24	경기힐링리조트	8	204	경기 가평군 청평면	조용한 자연 속 휴식을 위한 힐링 리조트입니다.	1,2,3	12,22,32
25	전남바다리조트	16	205	전남 목포시 옥암동	바다와 함께 여유로운 시간을 보낼 수 있는 리조트입니다.	1,2,3	14,24,34
26	경북숲리조트	13	201	경북 경주시 보문동	숲속 자연과 함께 편안한 쉼을 제공하는 리조트입니다.	1,2,3	16,26,36
27	충남호수리조트	12	202	충남 공주시 신관동	호수 전망이 아름다운 감성 리조트입니다.	1,2,3	13,23,33
28	울산마운틴리조트	7	203	울산 울주군 상북면	산과 자연이 어우러진 휴양형 리조트입니다.	1,2,3	15,25,35
29	인천아일랜드리조트	3	204	인천 강화군 강화읍	섬 여행의 낭만을 느낄 수 있는 리조트입니다.	1,2,3	18,28,38
30	대전그린리조트	5	205	대전 유성구 봉명동	도심 속 여유로운 휴식을 위한 그린 리조트입니다.	1,2,3	12,22,32
31	서울어반리조트	1	201	서울 송파구 잠실동	서울 도심 속 감성 휴양 공간을 제공합니다.	1,2,3	22,32,42
32	광주레이크리조트	4	202	광주 북구 운암동	호수 풍경과 함께 편안한 휴식을 제공합니다.	1,2,3	14,24,34
33	세종센트리조트	10	203	세종 도담동	가족 여행에 적합한 세종 대표 리조트입니다.	1,2,3	10,20,30
34	전북힐리조트	15	204	전북 군산시 수송동	자연과 함께하는 조용한 힐링 리조트입니다.	1,2,3	16,26,36
35	경남오션힐리조트	14	205	경남 거제시 장평동	푸른 바다와 함께 럭셔리 휴식을 제공합니다.	1,2,3	18,28,38
36	제주에메랄드리조트	17	201	제주 제주시 애월읍	에메랄드빛 제주 바다를 만끽할 수 있는 리조트입니다.	1,2,3	25,35,45
37	강원파크리조트	9	202	강원 평창군 대관령면	사계절 자연을 즐길 수 있는 패밀리 리조트입니다.	1,2,3	20,30,40
38	부산블루베이리조트	2	203	부산 해운대구 중동	부산 바다를 한눈에 담을 수 있는 감성 리조트입니다.	1,2,3	18,28,38
39	경기포레스트리조트	8	204	경기 양평군 용문면	숲속 캠핑 감성을 느낄 수 있는 리조트입니다.	1,2,3	15,25,35
40	전남오션뷰리조트	16	205	전남 여수시 돌산읍	탁 트인 바다 전망을 자랑하는 오션 리조트입니다.	1,2,3	17,27,37
41	강촌펜션	9	301	강원 춘천시 남산면	춘천 자연 속에서 편안한 휴식을 즐길 수 있는 펜션입니다.	1	20
42	가평힐링펜션	8	301	경기 가평군 설악면	가평 계곡과 함께하는 힐링 감성 펜션입니다.	1	18
43	제주바다펜션	17	301	제주 서귀포시 남원읍	제주 바다의 낭만을 담은 감성 숙소입니다.	1	25
44	부산숲펜션	2	301	부산 기장군 철마면	숲속 조용한 분위기의 힐링 펜션입니다.	1	16
45	전남오션펜션	16	301	전남 완도군 완도읍	바다와 가까운 여유로운 감성 펜션입니다.	1	19
46	경북계곡펜션	13	301	경북 문경시 가은읍	시원한 계곡과 함께 휴식을 즐길 수 있는 펜션입니다.	1	14
47	충남호수펜션	12	301	충남 청양군 대치면	호수 풍경과 함께하는 아늑한 숙소입니다.	1	17
