ano	aname	Lx	Ly	Cx	Cy
101	강남구	420	433	187	192
102	강동구	543	335	202	182
103	강북구	351	189	182	168
104	강서구	117	310	160	179
105	관악구	281	474	177	197
106	광진구	473	337	191	182
107	구로구	148	423	167	190
108	금천구	219	479	171	197
109	노원구	448	171	192	166
110	도봉구	392	143	186	162
111	동대문구	421	281	189	175
112	영등포구	228	379	171	189
113	마포구	228	320	171	178
114	서대문구	268	320	176	176
115	서초구	364	444	184	192
116	성동구	405	330	187	180
117	성북구	373	256	186	176
201	해운대구	417	294	463	554
202	부산진구	311	324	447	561
203	동래구	345	272	449	560
204	남구	364	372	449	572
205	북구	292	251	443	553
206	사하구	249	412	438	580
207	사상구	257	329	440	565
208	동구	318	369	443	571
209	서구	284	378	440	573
210	연제구	352	301	450	558
211	수영구	383	328	453	565
212	기장군	462	161	465	543
301	부평구	527	368	148	190
302	남동구	532	410	151	197
303	미추홀구	496	399	142	192
304	계양구	536	327	150	179
305	동구	482	377	138	191
306	중구	469	394	134	194
401	광산구	198	272	148	565
402	북구	430	218	169	557
403	남구	358	415	164	579
404	서구	349	326	164	569
405	동구	495	380	175	576
501	유성구	154	250	222	369
502	서구	160	489	226	388
503	중구	277	425	234	381
504	동구	352	333	243	380
505	대덕구	333	171	239	364
601	수성구	352	320	398	462
602	달서구	229	320	379	460
603	북구	280	211	385	444
604	남구	288	322	384	464
605	중구	296	288	384	432
606	동구	368	212	400	445
607	서구	258	280	381	452
701	남구	420	306	482	513
702	북구	471	191	490	492
703	동구	526	280	492	509
704	중구	410	247	471	506
801	수정구	385	367	197	201
802	덕양구	321	290	169	164
803	일산동구	306	260	169	164
804	일산서구	280	270	151	161
805	처인구	424	435	222	244
806	기흥구	393	410	206	230
807	수지구	373	387	200	214
808	가평군	469	213	239	144
809	양평군	511	331	254	193
810	연천군	367	119	173	101
901	홍천군	268	311	300	166
902	횡성군	277	386	323	194
903	영월군	373	484	373	240
904	평창군	366	374	372	197
905	정선군	434	427	421	226
906	철원군	89	160	235	75
907	화천군	173	183	266	89
908	양구군	250	174	314	66
909	인제군	321	230	335	91
910	고성군	352	121	364	57
911	양양군	403	234	390	108
1001	조치원읍	330	255	216	332
1002	연기면	253	365	215	345
1003	전의면	186	190	208	326
1004	한솔동	282	480	215	355
1005	도담동	304	426	216	345
1101	청주	128	318	238	331
1102	충주	262	139	285	261
1103	제천	363	102	332	256
1104	보은군	217	373	274	354
1105	옥천군	184	452	269	380
1106	영동군	244	525	285	406
1107	증평군	600	780	258	307
1108	진천군	114	218	236	294
1201	천안	462	165	208	296
1202	공주	409	309	196	348
1203	보령	250	368	140	390
1204	아산	400	660	185	297
1205	서산	203	193	131	311
1206	논산	444	444	206	398
1207	당진	267	130	148	294
1301	포항	451	370	474	425
1302	경주	458	472	471	457
1303	김천	156	403	321	433
1304	안동	345	229	408	335
1305	구미	229	353	349	409
1306	영주	283	158	391	292
1307	영천	387	411	432	435
1308	상주	156	291	327	367
1309	문경	187	199	329	332
1310	경산	351	479	413	464
1401	창원	356	284	373	551
1402	진주	210	319	327	550
1403	통영	284	415	362	604
1404	사천	170	353	312	578
1405	김해	420	280	406	552
1406	밀양	395	201	418	512
1407	거제	357	434	397	617
1408	양산	475	232	440	529
1501	전주	305	252	200	452
1502	익산	264	165	185	429
1503	군산	168	206	154	439
1504	정읍	222	355	181	494
1505	남원	419	439	239	522
1506	김제	216	256	170	460
1507	완주	346	192	219	436
1601	목포	225	287	107	622
1602	여수	549	296	262	626
1603	순천	485	237	233	585
1604	나주	300	230	145	590
1605	광양	555	224	258	585
1606	담양	379	139	181	544
1607	화순	383	237	184	588
1701	제주시	312	259	124	843
1702	서귀포시	321	373	127	871
