rno	dno	rating	text
1	913	1	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
2	2007	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
3	4468	2	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
4	261	1	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
5	1906	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
6	4598	3	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
7	3437	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
8	2279	5	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
9	1308	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
10	2277	3	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
11	838	2	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
12	2941	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
13	2167	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
14	4393	2	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
15	646	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
16	2963	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
17	376	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
18	654	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
19	3114	3	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
20	1333	4	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
21	2188	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
22	4991	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
23	2006	3	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
24	2212	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
25	1800	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
26	1877	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
27	3287	3	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
28	4647	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
29	1742	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
30	3759	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
31	2021	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
32	2153	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
33	4781	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
34	1134	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
35	386	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
36	1311	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
37	4886	2	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
38	4882	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
39	2060	5	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
40	939	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
41	2186	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
42	914	3	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
