rno	start_sno	end_sno	rdate	uno
1	1	3	2026-04-08	1
2	67	1	2026-04-16	1
3	10	29	2026-04-17	1
4	2	10	2026-04-18	1
5	5	18	2026-07-20	2
6	1	60	2026-07-19	3
7	1	3	2026-07-18	3
8	1	3	2026-04-19	1
9	10	29	2026-07-16	2
10	67	1	2026-07-15	3
11	5	18	2026-07-14	3
12	2	10	2026-04-24	1
13	1	33	2026-07-12	2
14	33	11	2026-07-11	2
15	33	27	2026-07-10	2
16	1	3	2026-07-09	2
17	1	33	2026-04-28	1
18	10	29	2026-05-02	1
19	2	10	2026-05-03	1
20	1	3	2026-05-04	1
21	1	60	2026-07-04	2
22	1	3	2026-07-03	3
23	2	10	2026-07-02	3
24	1	60	2026-05-05	1
25	67	1	2026-06-30	2
26	5	18	2026-06-29	3
27	1	60	2026-06-28	3
28	1	3	2026-05-10	1
29	33	11	2026-06-26	2
30	33	27	2026-06-25	2
31	1	3	2026-06-24	2
32	2	10	2026-06-23	2
33	1	60	2026-05-14	1
34	2	10	2026-05-18	1
35	1	3	2026-05-19	1
36	1	60	2026-05-20	1
37	1	3	2026-06-18	2
38	2	10	2026-06-17	3
39	10	29	2026-06-16	3
40	2	10	2026-05-21	1
41	5	18	2026-06-14	2
42	1	60	2026-06-13	3
43	1	33	2026-06-12	3
44	5	18	2026-05-21	1
45	33	27	2026-06-10	2
46	1	3	2026-06-09	2
47	2	10	2026-06-08	2
48	10	29	2026-06-07	2
49	33	27	2026-05-26	1
50	10	29	2026-05-28	1
51	5	18	2026-05-30	1
52	1	3	2026-06-03	1
53	2	10	2026-06-02	2
54	10	29	2026-06-01	3
55	67	1	2026-05-31	3
56	1	60	2026-06-04	1
57	1	60	2026-05-29	2
58	1	33	2026-05-28	3
59	33	11	2026-05-27	3
60	5	18	2026-06-05	1
61	1	3	2026-05-25	2
62	2	10	2026-05-24	2
63	10	29	2026-05-23	2
64	67	1	2026-05-22	2
65	67	1	2026-06-06	1
66	33	11	2026-06-11	1
67	67	1	2026-06-15	1
68	1	60	2026-06-19	1
69	10	29	2026-05-17	2
70	67	1	2026-05-16	3
71	5	18	2026-05-15	3
72	5	18	2026-06-20	1
73	1	33	2026-05-13	2
74	33	11	2026-05-12	3
75	33	27	2026-05-11	3
76	67	1	2026-06-21	1
77	2	10	2026-05-09	2
78	10	29	2026-05-08	2
79	67	1	2026-05-07	2
80	5	18	2026-05-06	2
81	10	29	2026-06-22	1
82	1	33	2026-06-27	1
83	10	29	2026-07-01	1
84	5	18	2026-07-05	1
85	67	1	2026-05-01	2
86	5	18	2026-04-30	3
87	1	60	2026-04-29	3
88	67	1	2026-07-06	1
89	33	11	2026-04-27	2
90	33	27	2026-04-26	3
91	1	3	2026-04-25	3
92	10	29	2026-07-07	1
93	10	29	2026-04-23	2
94	67	1	2026-04-22	2
95	5	18	2026-04-21	2
96	1	60	2026-04-20	2
97	2	10	2026-07-08	1
98	67	1	2026-07-09	1
99	1	60	2026-07-13	1
100	2	10	2026-07-17	1
