sno	name	line	x	y	
1	검단호수공원	I1100	384	53	
2	신검단중앙	I1110	433	53	
3	아라	I1120	465	85	
4	계양	I1130	498	118	
5	귤현	I1140	532	152	
6	박촌	I1150	532	199	
7	임학	I1160	532	245	
8	계산	I1170	498	279	
9	경인교대입구	I1180	465	313	
10	작전	I1190	465	358	
11	갈산	I1200	465	406	
12	부평구청	I1211	465	481	
13	부평시장	I1220	465	550	
14	부평	I1230	465	605	
15	동수	I1240	433	637	
16	부평삼거리	I1250	400	670	
17	간석오거리	I1260	400	721	
18	인천시청	I1271	400	800	
19	예술회관	I1280	400	877	
20	인천터미널	I1290	398	924	
21	문학경기장	I1300	398	970	
22	선학	I1310	398	1018	
23	신연수	I1320	367	1052	
24	원인재	I1330	335	1084	
25	동춘	I1340	301	1117	
26	동막	I1350	268	1150	
27	캠퍼스타운	I1360	235	1184	
28	테크노파크	I1370	203	1217	
29	지식정보단지	I1380	168	1184	
30	인천대입구	I1390	137	1150	
31	센트럴파크	I1400	103	1118	
32	국제업무지구	I1410	70	1085	
33	송도달빛축제공원	I1420	38	1051	
34	검단오류	I2100	20	62	
35	왕길	I2110	68	62	
36	검단사거리	I2120	118	62	
37	마전	I2130	150	96	
38	완정	I2140	184	130	
39	독정	I2150	184	175	
40	검암	I2160	184	224	
41	검바위	I2170	184	271	
42	아시아드경기장	I2180	184	318	
43	서구청	I2190	184	363	
44	가정	I2200	184	411	
45	가정중앙시장	I2210	184	457	
46	석남	I2221	184	534	
47	서부여성회관	I2230	184	602	
48	인천가좌	I2240	184	649	
49	가재울	I2250	216	683	
50	주안국가산단	I2260	249	715	
51	주안	I2270	249	760	
52	시민공원	I2280	290	802	
53	석바위시장	I2290	337	802	
54	인천시청	I2301	400	802	
55	석천사거리	I2310	468	802	
56	모래내시장	I2320	516	802	
57	만수	I2330	564	802	
58	남동구청	I2340	598	837	
59	인천대공원	I2350	631	868	
60	운연	I2360	662	902	
61	석남	I7301	184	534	
62	산곡	I7310	324	478	
63	부평구청	I7321	465	481	
64	굴포천	I7330	528	480	
65	삼산체육관	I7340	578	480	
66	상동	I7350	628	480	
67	부천시청	I7360	676	480	
68	신중동	I7370	725	480	
69	춘의	I7380	774	480	
70	부천종합운동장	I7390	824	480	
71	까치울	I7400	874	480
