lno	n	v
1	124	123
2	123	120
3	120	122
4	120	121
5	121	122
6	120	62
7	79	122
8	62	135
9	135	77
10	135	76
11	77	76
12	76	75
13	75	77
14	75	78
15	76	78
16	62	61
17	79	61
18	79	60
19	79	67
20	61	60
21	60	63
22	67	63
23	67	66
24	63	64
25	66	65
26	65	64
27	79	63
28	60	67
29	62	58
30	58	59
31	62	59
32	59	63
33	59	64
34	58	110
35	78	110
36	78	58
37	110	112
38	78	112
39	110	104
40	112	111
41	110	111
42	111	104
43	103	104
44	111	105
45	106	111
46	111	109
47	103	105
48	109	107
49	109	106
50	106	105
51	103	101
52	104	101
53	103	108
54	103	107
55	105	108
56	106	107
57	107	108
58	108	101
59	101	102
60	102	108
61	107	102
62	106	101
63	61	59
64	60	59
65	109	30
66	107	28
67	28	109
68	107	30
69	102	27
70	102	26
71	64	102
72	65	26
73	65	102
74	64	26
75	26	27
76	27	28
77	28	102
78	27	107
79	30	31
80	28	29
81	28	31
82	30	28
83	67	69
84	67	68
85	66	68
86	65	68
87	68	26
88	26	22
89	68	22
90	68	69
91	69	70
92	68	70
93	70	22
94	26	23
95	23	22
96	23	27
97	27	29
98	31	29
99	29	23
100	28	23
101	31	34
102	29	34
103	31	19
104	19	34
105	29	19
106	23	19
107	19	25
108	23	25
109	22	24
110	24	23
111	25	24
112	24	72
113	70	72
114	70	24
115	25	16
116	19	16
117	16	20
118	34	33
119	19	33
120	34	20
121	25	33
122	33	20
123	33	32
124	62	79
125	69	72
126	72	71
127	69	132
128	24	18
129	72	18
130	18	25
131	16	21
132	20	32
133	32	21
134	21	20
135	21	18
136	16	18
137	18	17
138	17	21
139	18	36
140	72	36
141	71	36
142	37	17
143	18	37
144	37	36
145	21	35
146	32	35
147	35	17
148	17	44
149	44	37
150	35	52
151	52	47
152	47	35
153	49	52
154	52	51
155	52	53
156	47	49
157	46	49
158	46	51
159	35	48
160	48	47
161	44	48
162	44	43
163	37	45
164	45	43
165	37	43
166	48	50
167	50	47
168	49	50
169	50	41
170	41	46
171	41	38
172	38	39
173	39	41
174	41	43
175	39	43
176	50	43
177	44	41
178	43	48
179	45	42
180	42	43
181	42	40
182	40	38
183	39	42
184	132	128
185	128	133
186	133	132
187	90	71
188	71	95
189	95	36
190	45	95
191	36	45
192	95	89
193	89	90
194	45	96
195	96	42
196	96	95
197	95	91
198	91	96
199	91	89
200	90	132
201	71	69
202	69	90
203	132	131
204	131	133
205	128	136
206	136	125
207	125	126
208	136	126
209	128	127
210	127	126
211	136	133
212	133	127
213	133	130
214	130	131
215	131	134
216	134	129
217	129	130
218	130	127
219	127	129
220	131	80
221	80	134
222	130	134
223	129	131
224	134	117
225	117	80
226	80	116
227	134	116
228	116	117
229	134	118
230	117	118
231	118	127
232	129	118
233	126	118
234	118	125
235	118	119
236	119	125
237	119	113
238	118	113
239	117	113
240	116	114
241	114	86
242	86	115
243	86	84
244	84	116
245	116	81
246	81	80
247	81	84
248	81	85
249	85	84
250	81	82
251	82	80
252	131	90
253	90	80
254	82	90
255	82	89
256	89	92
257	92	82
258	91	92
259	91	94
260	94	96
261	42	94
262	94	92
263	82	85
264	85	92
265	92	81
266	83	92
267	92	93
268	83	85
269	83	93
270	94	93
271	93	97
272	97	98
273	98	94
274	97	94
275	98	93
276	93	88
277	97	88
278	98	100
279	100	88
280	97	100
281	100	99
282	99	98
283	99	40
284	42	99
285	94	40
286	38	3
287	3	99
288	40	3
289	3	100
290	46	38
291	38	51
292	41	51
293	51	53
294	53	38
295	51	54
296	54	38
297	54	53
298	53	55
299	55	54
300	54	56
301	56	55
302	55	57
303	57	56
304	54	3
305	3	6
306	6	56
307	56	10
308	10	9
309	9	57
310	57	10
311	9	56
312	56	5
313	10	5
314	5	6
315	6	4
316	4	5
317	7	5
318	4	7
319	4	100
320	3	4
321	100	6
322	4	88
323	84	87
324	87	86
325	85	87
326	87	83
327	93	87
328	86	85
329	86	83
330	88	87
331	87	115
332	87	2
333	2	88
334	88	7
335	7	2
336	2	100
337	2	1
338	1	8
339	8	7
340	7	1
341	1	88
342	87	7
343	5	8
344	8	10
345	9	8
346	8	12
347	12	11
348	11	8
349	9	11
350	11	57
351	11	14
352	14	12
353	14	15
354	15	12
355	15	1
356	8	15
357	12	1
358	13	11
359	77	73
360	73	74
361	74	77
362	75	74
363	74	78
364	73	135
