sno	sname	sx	sy	ano
1	옥련1동	541	577	1
2	옥련2동	533	554	1
3	선학동	623	551	1
4	연수1동	593	562	1
5	연수2동	591	590	1
6	연수3동	609	570	1
7	청학동	579	569	1
8	동춘1동	551	589	1
9	동춘2동	578	619	1
10	동춘3동	588	604	1
11	송도1동	525	661	1
12	송도2동	515	623	1
13	송도3동	565	723	1
14	송도4동	480	643	1
15	송도5동	483	585	1
16	부평1동	664	391	2
17	부평2동	660	425	2
18	부평3동	641	410	2
19	부평4동	672	366	2
20	부평5동	678	394	2
21	부평6동	672	410	2
22	산곡1동	617	366	2
23	산곡2동	638	367	2
24	산곡3동	634	391	2
25	산곡4동	653	376	2
26	청천1동	618	325	2
27	청천2동	643	330	2
28	갈산1동	677	320	2
29	갈산2동	676	341	2
30	삼산1동	710	318	2
31	삼산2동	695	338	2
32	부개1동	688	404	2
33	부개2동	692	386	2
34	부개3동	691	361	2
35	일신동	706	436	2
36	십정1동	615	427	2
37	십정2동	631	442	2
38	구월1동	645	515	3
39	구월2동	646	488	3
40	구월3동	627	504	3
41	구월4동	662	484	3
42	간석1동	624	480	3
43	간석2동	640	471	3
44	간석3동	650	447	3
45	간석4동	618	459	3
46	만수1동	685	496	3
47	만수2동	689	462	3
48	만수3동	670	463	3
49	만수4동	692	482	3
50	만수5동	670	477	3
51	만수6동	692	512	3
52	장수서창동	736	482	3
53	서창2동	714	552	3
54	남촌도림동	657	565	3
55	논현1동	682	619	3
56	논현2동	622	621	3
57	논현고잔동	622	647	3
58	검암경서동	594	216	4
59	연희동	596	250	4
60	청라1동	536	313	4
61	청라2동	512	301	4
62	청라3동	474	300	4
63	가정1동	571	310	4
64	가정2동	592	303	4
65	가정3동	587	325	4
66	석남1동	568	343	4
67	석남2동	546	359	4
68	석남3동	589	352	4
69	가좌1동	552	387	4
70	가좌2동	597	382	4
71	가좌3동	585	423	4
72	가좌4동	605	401	4
73	검단동	530	81	4
74	불로대곡동	599	67	4
75	원당동	609	125	4
76	당하동	580	137	4
77	마전동	571	118	4
78	아라동	648	129	4
79	신현원창동	496	346	4
80	숭의1.3동	531	450	5
81	숭의2동	536	471	5
82	숭의4동	551	466	5
83	용현1.4동	550	500	5
84	용현2동	523	482	5
85	용현3동	538	487	5
86	용현5동	511	501	5
87	학익1동	532	525	5
88	학익2동	573	521	5
89	도화1동	569	461	5
90	도화2.3동	555	436	5
91	주안1동	585	472	5
92	주안2동	572	486	5
93	주안3동	567	503	5
94	주안4동	596	489	5
95	주안5동	591	456	5
96	주안6동	603	473	5
97	주안7동	580	510	5
98	주안8동	595	505	5
99	관교동	609	517	5
100	문학동	593	536	5
101	효성1동	636	280	6
102	효성2동	618	295	6
103	계산1동	658	265	6
104	계산2동	658	247	6
105	계산3동	672	267	6
106	계산4동	683	275	6
107	작전1동	679	295	6
108	작전2동	659	288	6
109	작전서운동	710	291	6
110	계양1동	672	193	6
111	계양2동	690	243	6
112	계양3동	733	196	6
113	신포동	485	445	7
114	연안동	463	479	7
115	신흥동	492	531	7
116	도원동	514	456	7
117	율목동	506	445	7
118	동인천동	491	426	7
119	개항동	461	419	7
120	영종동	325	337	8
121	영종1동	377	399	8
122	영종2동	400	378	8
123	운서동	195	430	8
124	용유동	97	487	8
125	만석동	478	403	9
126	화수1.화평동	496	411	9
127	송현1.2동	505	419	9
128	송현3동	516	394	9
129	송림1동	514	427	9
130	송림2동	521	422	9
131	송림3.5동	531	430	9
132	송림4동	539	404	9
133	송림6동	526	408	9
134	금창동	519	438	9
135	오류왕길동	473	154	4
136	화수2동	498	400	9
