pno	pname	description	price	sno	cno
1	무선 블루투스 이어폰	고음질 노이즈 캔슬링 탑재 및 장시간 배터리	142000	19	1
2	초고속 게이밍 마우스	16000 DPI 정밀 센서와 RGB 라이팅 적용	57000	91	1
3	기계식 키보드	경쾌한 타격감의 청축 스위치와 무한 동시 입력	215000	53	1
4	4K UHD 모니터	선명한 화질의 32인치 대화면 가성비 모니터	278000	13	1
5	휴대용 보조배터리	20000mAh 대용량 및 PD 고속 충전 지원	64000	102	1
6	스마트 워치 시리즈 8	혈중 산소 및 운동 추적 기능을 갖춘 건강 파트너	302000	123	1
7	태블릿 PC 10인치	인강 및 영상 시청에 최적화된 고해상도 화면	135000	40	1
8	노트북 쿨링패드	저소음 대형 팬으로 노트북 발열 완벽 방지	67000	38	1
9	C타입 고속 충전 케이블	내구성이 강한 패브릭 소재의 2m 롱 케이블	140000	12	1
10	무선 충전 패드	스마트폰 거치와 15W 급속 충전을 동시에	289000	41	1
11	스테인리스 프라이팬	코팅 걱정 없는 위생적인 반영구 스테인리스	106000	123	2
12	실리콘 조리도구 세트	스크래치 방지 내열 실리콘 소재 10종 구성	203000	116	2
13	에어프라이어 5L	기름 없이 바삭한 튀김 요리가 가능한 대용량	237000	23	2
14	전기 포트 1.5L	3분 만에 끓는 쾌속 가열 및 자동 전원 차단	148000	81	2
15	세라믹 칼 세트	절삭력이 우수한 주방 칼과 필러 5종 세트	100000	75	2
16	유리 밀폐용기	냄새 배임 없는 깔끔한 내열유리 보관 용기	303000	118	2
17	우드 샐러드 볼	감성 있는 테이블 세팅을 위한 원목 소재	165000	80	2
18	전동 와인 오프너	버튼 하나로 힘 안 들이고 코르크 제거 가능	103000	94	2
19	자동 거품 손세정기	비접촉식 위생적인 센서형 자동 거품 분사	200000	92	2
20	야채 멀티 다지기	마늘과 야채를 한 번에 손쉽게 다지는 주방 보조기	231000	20	2
21	오버핏 면 티셔츠	데일리로 입기 좋은 20수 탄탄한 기본 티셔츠	198000	95	3
22	린넨 와이드 팬츠	시원하고 통기성 좋은 여름용 밴딩 바지	110000	126	3
23	캔버스 에코백	가볍고 수납력이 좋아 데일리백으로 추천	260000	124	3
24	가죽 카드 지갑	슬림한 디자인의 천연 소가죽 수제 지갑	32000	82	3
25	런닝화 운동화	쿠셔닝이 좋아 장시간 보행에도 발이 편한 신발	98000	73	3
26	버킷햇 벙거지 모자	자외선 차단과 스타일을 동시에 잡은 아이템	290000	41	3
27	캐시미어 머플러	부드럽고 따뜻한 겨울철 필수 방한 용품	105000	97	3
28	블루라이트 차단 안경	스마트 기기 사용 시 시력 보호 기능성 안경	154000	80	3
29	스테인리스 손목시계	클래식한 디자인으로 정장과 캐주얼에 적합	256000	63	3
30	요가 레깅스	신축성이 뛰어난 고탄력 원단의 애슬레저 룩	125000	130	3
31	수분 크림 80ml	건조한 피부에 24시간 지속되는 강력 보습 효과	230000	77	4
32	저자극 클렌징 폼	민감성 피부를 위한 약산성 순한 세안제	30000	57	4
33	탈모 완화 샴푸	두피 건강과 모발 영양을 생각한 기능성 샴푸	279000	45	4
34	극세사 세차 타월	흡수력이 빠르고 흠집을 내지 않는 차량용 타월	179000	114	4
35	우디향 향수 50ml	은은한 숲속 향기의 고급스러운 잔향	120000	106	4
36	비타민 C 세럼	피부 생기를 찾아주는 미백 기능성 기초 화장품	226000	25	4
37	휴대용 칫솔 살균기	UV-C 램프로 어디서나 위생적인 칫솔 관리	11000	12	4
38	핸드크림 3종 세트	선물하기 좋은 은은한 향의 고보습 라인업	52000	11	4
39	종합 비타민 영양제	바쁜 현대인을 위해 하루 한 알로 챙기는 건강	28000	11	4
40	극세사 무릎 담요	사무실이나 차 안에서 쓰기 좋은 부드러운 촉감	243000	1	4
41	접이식 좌식 책상	공간 활용이 뛰어난 1인용 미니 탁자	154000	80	5
42	암막 커튼 1+1	빛 차단율 99%로 숙면을 돕는 호텔식 커튼	119000	12	5
43	무드등 가습기	은은한 조명과 적정 습도 조절을 한 번에	47000	100	5
44	메모리폼 베개	경추를 지지하여 편안한 잠자리를 만드는 베개	150000	86	5
