p_no	p_name	p_price	p_adult	p_category	p_img
1	삼각김밥(전주비빔)	1200	0	1	
2	삼각김밥(참치마요)	1200	0	1	
3	도시락	5500	0	1	
4	담배	4500	1	4	
5	춘천 닭갈비 도시락	5900	0	1	
6	치즈 샌드위치	2800	0	1	
7	햄에그 토스트	3200	0	1	
8	불고기 버거	3500	0	1	
9	소시지 핫도그	2500	0	1	
10	컵라면(신라면)	1400	0	3	
11	컵라면(불닭볶음면)	1800	0	3	
12	컵라면(진라면)	1300	0	3	
13	컵라면(육개장)	1100	0	3	
14	짜파게티 큰사발	1600	0	3	
15	콜라 500ml	2000	0	2	
16	사이다 500ml	2000	0	2	
17	펩시 제로 500ml	1900	0	2	
18	생수 500ml	900	0	2	
19	생수 2L	1700	0	2	
20	바나나맛 우유	1700	0	2	
21	흰 우유 500ml	2100	0	2	
22	초코 우유	1500	0	2	
23	딸기 우유	1500	0	2	
24	아메리카노	2500	0	2	
25	카페라떼	2500	0	2	
26	오렌지 주스	2200	0	2	
27	비타 500	1000	0	2	
28	컨디션	5000	0	2	
29	새우깡	1500	0	3	
30	포카칩	1700	0	3	
31	허니버터칩	1700	0	3	
32	꼬깔콘	1500	0	3	
33	빼빼로	1700	0	3	
34	초코파이	500	0	3	
35	초콜릿바	1200	0	3	
36	곤약 젤리	1800	0	3	
37	감자빵	3500	0	3	
38	초코 아이스크림	2500	0	3	
39	찰옥수수 아이스크림	2000	0	3	
40	메로나	1200	0	3	
41	막걸리	2300	1	2	
42	캔맥주 500ml	4500	1	2	
43	소주	1900	1	2	
44	일회용 마스크	1000	0	4	
45	휴대용 화장지	800	0	4	
46	건전지(AA)	3000	0	4	
47	라이터	800	1	4	
48	우산(비닐)	5000	0	4	
49	종이컵(10입)	1000	0	4	
50	나무젓가락(10입)	500	0	4	
