f_no	u_no	j_no
1	2	12
2	3	23
3	4	34
4	5	45
5	6	56
6	7	67
7	8	78
8	9	89
9	10	100
10	1	111
11	2	122
12	3	133
13	4	144
14	5	155
15	6	166
16	7	177
17	8	188
18	9	199
19	10	210
20	1	221
21	2	232
22	3	243
23	4	254
24	5	265
25	6	3
26	7	14
27	8	25
28	9	36
29	10	47
30	1	58
31	2	69
32	3	80
33	4	91
34	5	102
35	6	113
36	7	124
37	8	135
38	9	146
39	10	157
40	1	168
41	2	179
42	3	190
43	4	201
44	5	212
45	6	223
46	7	234
47	8	245
48	9	256
49	10	267
50	1	5
51	2	16
52	3	27
53	4	38
54	5	49
55	6	60
56	7	71
57	8	82
58	9	93
59	10	104
60	1	115
61	2	126
62	3	137
63	4	148
64	5	159
65	6	170
66	7	181
67	8	192
68	9	203
69	10	214
70	1	225
71	2	236
72	3	247
73	4	258
74	5	269
75	6	7
76	7	18
77	8	29
78	9	40
79	10	51
80	1	62
