ono	pno	uno	ocount	odate	oprice	type
1	115	1	7	2026-01-01	79900	2
2	122	1	11	2026-01-07	29900	2
3	128	1	5	2026-01-14	119000	2
4	20	5	15	2026-01-16	3900	2
5	81	3	3	2026-01-19	7900	2
6	141	3	2	2026-01-22	3900	2
7	149	5	13	2026-01-25	19900	2
8	116	5	13	2026-01-26	45900	2
9	5	1	7	2026-01-29	45900	2
10	28	2	5	2026-02-05	9900	2
11	16	3	2	2026-02-09	15900	2
12	23	4	11	2026-02-20	3200	2
13	144	5	5	2026-02-21	7900	2
14	80	1	14	2026-02-22	15900	2
15	127	4	6	2026-02-26	15900	2
16	137	3	10	2026-03-04	59900	2
17	18	5	1	2026-03-08	1900	2
18	118	2	3	2026-03-21	29900	2
19	19	1	14	2026-03-23	9900	2
20	145	4	2	2026-03-23	19900	2
21	9	3	9	2026-03-25	5900	2
22	39	1	2	2026-03-25	3900	2
23	48	3	11	2026-04-02	15900	2
24	137	1	6	2026-04-05	59900	2
25	37	1	9	2026-04-10	5900	2
26	124	4	3	2026-04-17	7900	2
27	70	1	14	2026-04-18	6900	2
28	106	1	5	2026-04-20	229000	2
29	12	4	1	2026-04-27	12900	2
30	29	1	12	2026-04-27	3900	2
31	125	1	8	2026-04-29	29900	2
32	146	2	2	2026-04-29	15900	2
33	25	1	13	2026-05-01	3200	2
34	18	2	1	2026-05-04	1900	2
35	107	4	5	2026-05-06	299000	2
36	35	2	1	2026-05-07	15900	2
37	120	4	5	2026-05-09	29900	2
38	150	5	5	2026-05-15	15900	2
39	42	2	14	2026-05-22	3900	2
40	49	5	1	2026-05-28	8900	2
41	11	1	9	2026-06-04	29900	2
42	146	1	7	2026-06-06	15900	2
43	65	1	10	2026-06-13	5900	2
44	62	4	1	2026-06-16	19900	2
45	136	1	7	2026-06-19	7900	2
46	88	5	13	2026-06-28	7900	2
47	110	2	1	2026-07-09	45900	2
48	65	1	12	2026-07-10	5900	2
49	13	2	8	2026-07-14	9900	2
50	15	2	9	2026-07-21	9900	2
51	140	3	8	2026-07-25	29900	2
52	107	3	2	2026-07-25	299000	2
53	4	3	13	2026-07-28	45900	2
54	36	2	14	2026-07-28	19900	2
55	91	4	6	2026-07-29	29900	2
56	105	1	14	2026-08-06	45900	2
57	110	5	13	2026-08-08	45900	2
58	37	1	6	2026-08-17	5900	0
59	3	1	6	2026-08-18	3900	0
60	44	5	6	2026-08-19	19900	1
