pno	dno	pname	pcontent	pcompany	pprice	pcount
1	6	마그네슘_비타민D	종근당에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	종근당	27900	9
2	6	락토핏_골드	종근당에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	종근당	45900	14
3	6	에너지바_밸런스미니	동서식품에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	동서식품	3900	11
4	6	홍삼진고바이탈스틱	정관장에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	정관장	45900	
5	6	센트룸_멀티구미	헤일리온에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	헤일리온	45900	10
6	6	imvita	아임비타에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	아임비타	15900	1
7	6	홍삼젤리	청우식품에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	청우식품	7900	8
8	6	레모나산	경남제약에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	경남제약	12900	9
9	6	팔각	한방선생에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	한방선생	5900	1
10	6	오메가3	뉴트리데이에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	뉴트리데이	5900	13
11	6	마인드풀_클렌즈	푸드올로지에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	푸드올로지	29900	2
12	6	아카시아꿀	소백산청정농원에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	소백산청정농원	12900	15
13	6	마그네슘_비타민B6	솔가에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	솔가	9900	12
14	6	귀리쉐이크	태광선식에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	태광선식	15900	15
15	6	애플사이다비네거	브래그에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	브래그	9900	1
16	7	제주삼다수그린무라벨 500ml 20개	제주삼다수에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	제주삼다수	15900	10
17	7	제로스윗_복숭아아이스티	쿠팡 PB에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	쿠팡 PB	19900	5
18	7	우유	서울우유에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	서울우유	1900	11
19	7	홍초_석류히비스커스	대상에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	대상	9900	
20	7	제티	동서식품에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	동서식품	3900	4
21	7	레이지레몬	POLENGHI LAS에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	POLENGHI LAS	7900	15
22	7	레스비블루	롯데칠성음료에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	롯데칠성음료	5900	4
23	7	나랑드사이다_제로	동아오츠카에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	동아오츠카	3200	15
24	7	이디야	이디야에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	이디야	7900	9
25	7	펩시제로	펩시코에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	펩시코	3200	8
