ono	sprice	cprice	price	mprice	opening_date	uno	pno	rno
1	90000	140000	325000	9027	2026-02-05	1	4	1
2	100	100	100	300	2026-02-05	1	1	0
3	90000	140000	325000	9027	2026-02-05	1	4	1
4	120000	150000	350000	9800	2026-02-06	1	3	1
5	100000	130000	310000	8700	2026-02-07	2	2	1
6	80000	120000	290000	7600	2026-02-08	2	5	1
7	110000	145000	340000	9500	2026-02-09	3	1	1
8	95000	135000	320000	8800	2026-02-10	3	4	1
9	130000	160000	370000	10200	2026-02-11	4	6	1
10	125000	155000	360000	9900	2026-02-12	4	3	1
11	85000	125000	300000	8200	2026-02-13	5	2	1
12	105000	140000	330000	9100	2026-02-14	5	5	1
13	90000	130000	315000	8600	2026-02-15	1	1	1
14	115000	150000	345000	9700	2026-02-16	2	6	1
15	100000	135000	325000	9000	2026-02-17	3	3	1
16	95000	128000	305000	8400	2026-02-18	4	4	1
17	120000	158000	365000	10100	2026-02-19	5	2	1
18	110000	145000	335000	9300	2026-02-20	1	5	1
19	98000	132000	318000	8700	2026-02-21	2	1	1
20	125000	160000	375000	10300	2026-02-22	3	6	1
21	88000	127000	298000	8100	2026-02-23	4	3	1
22	108000	142000	332000	9200	2026-02-24	5	4	1
23	95000	134000	320000	8900	2026-02-25	1	2	1
24	118000	152000	350000	9800	2026-02-26	2	5	1
25	102000	138000	328000	9050	2026-02-27	3	1	1
26	87000	126000	295000	8000	2026-02-28	4	6	1
27	112000	148000	340000	9450	2026-03-01	5	3	1
28	99000	133000	322000	8800	2026-03-02	1	4	1
29	123000	158000	368000	10250	2026-03-03	2	2	1
30	90000	129000	310000	8500	2026-03-04	3	5	1
31	115000	150000	345000	9700	2026-03-05	4	1	1
32	90000	140000	325000	9027	2026-02-05	1	1	1
33	120000	150000	350000	9800	2026-02-06	1	2	1
34	100000	130000	310000	8700	2026-02-07	2	3	1
35	80000	120000	290000	7600	2026-02-08	2	4	1
36	110000	145000	340000	9500	2026-02-09	3	5	1
37	95000	135000	320000	8800	2026-02-10	3	6	1
38	130000	160000	370000	10200	2026-02-11	4	7	1
39	125000	155000	360000	9900	2026-02-12	4	8	1
40	85000	125000	300000	8200	2026-02-13	5	9	1
41	105000	140000	330000	9100	2026-02-14	5	10	1
42	90000	130000	315000	8600	2026-02-15	1	1	1
43	115000	150000	345000	9700	2026-02-16	2	2	1
44	100000	135000	325000	9000	2026-02-17	3	3	1
45	95000	128000	305000	8400	2026-02-18	4	4	1
46	120000	158000	365000	10100	2026-02-19	5	5	1
47	110000	145000	335000	9300	2026-02-20	1	6	1
48	98000	132000	318000	8700	2026-02-21	2	7	1
49	125000	160000	375000	10300	2026-02-22	3	8	1
50	88000	127000	298000	8100	2026-02-23	4	9	1
51	108000	142000	332000	9200	2026-02-24	5	10	1
52	95000	134000	320000	8900	2026-02-25	1	1	1
53	118000	152000	350000	9800	2026-02-26	2	2	1
54	102000	138000	328000	9050	2026-02-27	3	3	1
55	87000	126000	295000	8000	2026-02-28	4	4	1
56	112000	148000	340000	9450	2026-03-01	5	5	1
57	99000	133000	322000	8800	2026-03-02	1	6	1
58	123000	158000	368000	10250	2026-03-03	2	7	1
59	90000	129000	310000	8500	2026-03-04	3	8	1
60	115000	150000	345000	9700	2026-03-05	4	9	1
61	120000	155000	355000	9900	2026-03-06	5	10	1
62	50000	1700000	1794000	74750	2026-03-15	1	1	3
