rno	rname	service	price	effect
1	5GX 스탠다드	SKT	69000	"데이터 무제한,통화료 무제한,넷플릭스,FLO중 1개 할인,T멤버심 GOLD혜택"
2	5GX 프라임	SKT	89000	"데이터 무제한,통화료 무제한,넷플릭스,FLO중 1개 할인,T멤버심 VIP혜택,스마트 기기 1회선 이용요금 무료"
3	슬림 플러스	SKT	55000	"데이터 128G,통화료 무제한"
4	라이트	SKT	44000	"데이터 50G,통화료 300G,넷플릭스 할인"
5	뉴 데이터 5G 11GB	SKT	55000	"데이터 무제한,통화료 무제한,넷플릭스,FLO중 1개 할인,T멤버심 GOLD혜택"
6	뉴 데이터 5G 17GB	SKT	72000	"데이터 128G,통화료 무제한"
7	T플랜 라지	SKT	83000	"데이터 무제한,통화료 무제한,넷플릭스,FLO중 1개 할인,T멤버심 GOLD혜택"
8	5G 슬림	KT	55000	"데이터 110G, 멤버십 로밍해택"
9	5G 라지	KT	77000	"데이터 21G,전화 무제한,kt닷컷 7%할인"
10	5G 플래티넘	KT	90000	"데이터 110G, 멤버십 로밍해택"
11	LTE 베이직	KT	33000	"데이터 110G, 멤버십 로밍해택"
12	LTE 데이터 선택 76.8GB	KT	66000	"데이터 110G, 멤버십 로밍해택"
13	LTE 데이터 선택 150GB	KT	88000	"데이터 21G,전화 무제한,kt닷컷 7%할인"
14	KT 5G 슈퍼플랜 베이스	KT	69000	"데이터 110G, 멤버십 로밍해택"
15	5G 시그니처	LG U+	95000	"데이터 무제한,테더링+쉐어링 70G"
16	5G 프리미어	LG U+	89000	"데이터 150G,기본제공량 내 테더링+쉐어링 60G"
17	5G 라이트	LG U+	44000	"데이터 무제한,데터링+쉐어링 80G"
18	5G 스탠다드	LG U+	69000	"데이터 50G,기본제공량 내 테더링+쉐어링 4G"
19	U+ 데이터 69	LG U+	66000	데이터 31G
20	U+ 데이터 119	LG U+	88000	"데이터25G,다쓰면 최대 1Mbps"
