sno	title	detail	scope	pno
1	★아이폰13★	"향상된 카메라 센서로 여전히 현역으로 손색없는 명기입니다. 120Hz 주사율 부재와 노치 디자인은 아쉽지만, 12 시리즈 대비 개선된 완성도와 합리적인 가성비로 2025년에도 강력 추천되는 모델..."	1.5	1
2	아이폰13으로 갈아탄 후기	"향상된 카메라 센서로 여전히 현역으로 손색없는 명기입니다. 120Hz 주사율 부재와 노치 디자인은 아쉽지만, 12 시리즈 대비 개선된 완성도와 합리적인 가성비로 2026년에도 강력 추천되는 모델..."	5	1
3	★아이폰13★	카메라 성능과 안정성이 뛰어나 여전히 실사용에 매우 만족스럽습니다.	1.5	1
4	★아이폰13★	배터리 효율이 좋아 하루 사용에 전혀 무리가 없습니다.	2	1
5	★아이폰13★	디자인은 무난하지만 성능은 아직도 준수합니다.	1	1
6	★갤럭시 S22★	디스플레이 품질이 선명하고 색감이 뛰어납니다.	2.5	2
7	★갤럭시 S22★	발열은 조금 있지만 전반적으로 만족스럽습니다.	2	2
8	★갤럭시 S22★	카메라 성능이 일상 촬영에 충분합니다.	1.5	2
9	★아이폰14★	안정적인 iOS 환경으로 사용성이 좋습니다.	2.5	3
10	★아이폰14★	카메라 색감이 자연스러워 사진이 예쁩니다.	3	3
11	★아이폰14★	가격 대비 성능은 무난한 편입니다.	2	3
12	★갤럭시 S23★	스냅드래곤 성능이 체감될 정도로 빠릅니다.	3.5	4
13	★갤럭시 S23★	배터리 최적화가 잘 되어 있습니다.	3	4
14	★갤럭시 S23★	디자인과 성능 모두 만족스럽습니다.	4	4
15	★아이폰12★	출시된 지 오래됐지만 아직 쓸만합니다.	1.5	5
16	★아이폰12★	배터리 성능은 다소 아쉽습니다.	1	5
17	★아이폰12★	카메라는 여전히 준수한 편입니다.	2	5
18	★갤럭시 A53★	가성비 좋은 모델로 학생용으로 적합합니다.	2.5	6
19	★갤럭시 A53★	게임 성능은 평범하지만 일상 사용엔 충분합니다.	2	6
20	★갤럭시 A53★	배터리가 오래가서 만족스럽습니다.	3	6
21	★아이폰 SE3★	작고 가벼워서 한 손 사용이 편합니다.	2	7
22	★아이폰 SE3★	홈버튼이 있어 적응이 쉽습니다.	1.5	7
23	★아이폰 SE3★	배터리는 짧은 편입니다.	1	7
24	★갤럭시 Z플립4★	접히는 디자인이 매우 매력적입니다.	3.5	8
25	★갤럭시 Z플립4★	휴대성이 좋아 만족스럽습니다.	3	8
26	★갤럭시 Z플립4★	내구성은 조금 걱정됩니다.	2.5	8
27	★아이폰15★	성능과 카메라 모두 최신답게 훌륭합니다.	4.5	9
28	★아이폰15★	발열 관리가 이전보다 개선되었습니다.	4	9
29	★아이폰15★	가격이 다소 부담스럽습니다.	3.5	9
30	★갤럭시 S24★	AI 기능이 인상적이고 실사용에 도움됩니다.	4.5	10
31	★갤럭시 S24★	카메라와 디스플레이 완성도가 높습니다.	4	10
32	★갤럭시 S24★	전체적으로 매우 만족스러운 플래그십입니다.	5	10
33	★아이폰17pro★	이번 프로 모델 카메라는 진짜 역대급이네요. 줌 기능이 엄청납니다.	4.5	2
34	아이폰17pro 대만족	디자인이 훨씬 세련되졌고 주사율이 부드러워서 대만족합니다.	5.0	2
35	★아이폰17★	일반 모델인데도 성능 차고 넘칩니다. 다이내믹 아일랜드 편해요.	4.0	3
36	★갤럭시S24★	디자인 깔끔하고 한 손에 쏙 들어와서 대만족합니다.	4.5	4
37	★갤럭시폴드7★	화면 주름이 거의 안 보여요! 멀티태스킹할 때 신세계입니다.	5.0	5
38	갤럭시폴드7 후기	화면이 넓어서 좋은데 들고 다니기엔 살짝 묵직하네요.	3.5	5
39	★아이폰15★	C타입 포트 적용된 게 제일 편합니다. 충전기 통일해서 좋아요.	4.5	6
40	★샤오미 Redmi Note 12★	서브폰이나 효도폰으로 이만한 가성비가 없는 것 같습니다.	4.0	7
41	샤오미 짱	가격이 모든 걸 용서합니다. 이 가격에 이 스펙이라니 놀랍네요.	3.5	7
42	★갤럭시 플립7★	접었을 때 외부 화면이 커져서 활용도가 엄청 좋아졌습니다.	4.5	8
43	갤럭시 플립7 최고	디자인이 너무 예뻐서 들고 다닐 맛이 납니다. 대만족!	5.0	8
44	★샤오미 레드미 14C★	배터리가 정말 오래갑니다. 하루 종일 써도 남네요.	4.0	9
45	샤오미 14C 평점	기본적인 웹서핑이나 영상 시청용으로는 아주 훌륭합니다.	3.5	9
46	★샤오미 Redmi Note 14★	디스플레이가 생각보다 엄청 쨍하고 부드럽습니다. 가성비 최고.	4.5	10
47	★아이폰13★	구관이 명관입니다. 지금 사도 버벅임 전혀 없고 쌩쌩해요.	4.5	1
48	★아이폰17pro★	가격은 비싸지만 그만큼의 값어치를 확실히 하는 폰입니다.	4.5	2
49	★갤럭시폴드7★	접어서 쓰다가 펼쳤을 때 몰입감이 장난 아닙니다. 영상용 강추.	5.0	5
50	★샤오미 Redmi Note 14★	가벼운 게임도 잘 돌아가고 가성비 라인업 중 원탑인 듯합니다.	4.0	10
